dataset	plr_error	target_entries	inputs	truth_unique	merged_entries	merged_rank_min	merged_rank_max	outputs	split_entries	capacity_bad_files	sibling_overlap_pairs	materialized_unique	local_duplicate_keys	identity_missing	identity_extra	truth_outside_output_ranges	range_count_bad_files	range_entries_sum	bucket_overlap_pairs	retained_unique_samples
gapped_3	0	7	3	52	52	0	51	8	52	1	0	51	1	4	3	1	2	52	1	51
gapped_3	0	16	3	52	52	0	51	4	52	1	0	51	1	4	3	0	1	53	1	52
gapped_3	8	2	3	52	52	0	51	26	52	0	1	51	0	43	42	15	23	38	0	37
gapped_3	8	7	3	52	52	0	51	8	52	1	0	51	1	43	42	0	7	53	1	52
gapped_3	8	16	3	52	52	0	51	4	52	1	0	51	1	43	42	7	2	46	1	45
random_4	0	2	3	53	53	0	52	27	53	0	2	51	0	15	13	7	7	48	0	46
random_4	0	7	3	53	53	0	52	8	53	0	0	53	0	15	15	0	4	53	0	53
random_4	0	16	3	53	53	0	52	4	53	0	1	52	0	15	14	1	4	53	0	52
random_4	8	2	3	53	53	0	52	27	53	1	0	52	1	24	23	13	13	41	1	40
random_4	8	7	3	53	53	0	52	8	53	0	0	52	1	24	23	3	6	50	0	50
random_4	8	16	3	53	53	0	52	4	53	0	0	52	1	24	23	1	3	52	0	52
gapped_4	0	2	3	53	53	0	52	27	53	2	2	49	2	5	1	1	3	56	2	52
gapped_4	0	7	3	53	53	0	52	8	53	1	0	52	1	4	3	1	0	53	1	52
gapped_4	0	16	3	53	53	0	52	4	53	0	0	53	0	4	4	0	0	53	0	53
gapped_4	8	2	3	53	53	0	52	27	53	0	0	53	0	44	44	18	24	35	0	35
gapped_4	8	7	3	53	53	0	52	8	53	0	0	53	0	44	44	10	7	43	0	43
gapped_4	8	16	3	53	53	0	52	4	53	0	0	53	0	44	44	0	4	53	0	53
random_5	0	2	3	54	54	0	53	27	54	2	1	51	2	20	17	13	15	44	2	41
random_5	0	7	3	54	54	0	53	8	54	0	0	53	1	20	19	2	6	52	0	52
random_5	0	16	3	54	54	0	53	4	54	0	0	53	1	20	19	0	4	54	0	54
random_5	8	2	3	54	54	0	53	27	54	1	0	53	1	23	22	12	16	43	1	42
random_5	8	7	3	54	54	0	53	8	54	0	0	54	0	23	23	4	6	50	0	50
random_5	8	16	3	54	54	0	53	4	54	0	0	54	0	23	23	2	4	52	0	52
gapped_5	0	2	3	54	54	0	53	27	54	2	2	50	2	4	0	2	2	56	2	52
gapped_5	0	7	3	54	54	0	53	8	54	1	0	53	1	4	3	1	0	54	1	53
gapped_5	0	16	3	54	54	0	53	4	54	0	0	54	0	4	4	0	0	54	0	54
gapped_5	8	2	3	54	54	0	53	27	54	0	0	54	0	46	46	25	24	29	0	29
gapped_5	8	7	3	54	54	0	53	8	54	0	0	54	0	46	46	4	8	50	0	50
gapped_5	8	16	3	54	54	0	53	4	54	0	0	54	0	46	46	0	4	54	0	54
random_6	0	2	3	55	55	0	54	28	55	2	1	52	2	19	16	7	11	51	2	48
random_6	0	7	3	55	55	0	54	8	55	0	0	54	1	18	17	1	7	54	0	54
random_6	0	16	3	55	55	0	54	4	55	0	0	55	0	18	18	1	3	54	0	54
random_6	8	2	3	55	55	0	54	28	55	1	0	54	1	22	21	13	12	43	1	42
random_6	8	7	3	55	55	0	54	8	55	0	0	54	1	22	21	4	6	51	0	51
random_6	8	16	3	55	55	0	54	4	55	0	0	54	1	22	21	1	2	54	0	54
gapped_6	0	2	3	55	55	0	54	28	55	2	2	51	2	4	0	2	2	57	2	53
