dataset	plr_error	target_entries	inputs	truth_unique	merged_entries	merged_rank_min	merged_rank_max	outputs	split_entries	capacity_bad_files	sibling_overlap_pairs	materialized_unique	local_duplicate_keys	identity_missing	identity_extra	truth_outside_output_ranges	range_count_bad_files	range_entries_sum	bucket_overlap_pairs	retained_unique_samples
gapped_3	0	2	3	52	52	0	52	26	52	1	2	49	1	3	0	3	0	52	1	49
gapped_3	0	7	3	52	52	0	52	8	52	1	0	51	1	3	2	1	0	52	1	51
gapped_3	0	16	3	52	52	0	52	4	52	0	0	52	0	3	3	0	0	52	0	52
gapped_3	8	2	3	52	52	0	52	26	52	0	0	52	0	41	41	21	21	31	0	31
gapped_3	8	7	3	52	52	0	52	8	52	0	0	52	0	41	41	0	7	52	0	52
gapped_3	8	16	3	52	52	0	52	4	52	0	0	52	0	41	41	9	3	43	0	43
random_4	0	2	3	53	53	0	53	27	53	2	1	50	2	19	16	10	8	46	2	43
random_4	0	7	3	53	53	0	53	8	53	0	0	53	0	19	19	3	7	50	0	50
random_4	0	16	3	53	53	0	53	4	53	0	0	52	1	19	18	0	3	53	0	53
random_4	8	2	3	53	53	0	53	27	53	0	1	52	0	21	20	9	16	45	0	44
random_4	8	7	3	53	53	0	53	8	53	0	0	53	0	20	20	3	7	50	0	50
random_4	8	16	3	53	53	0	53	4	53	0	0	53	0	20	20	1	4	52	0	52
gapped_4	0	2	3	53	53	0	53	27	53	2	3	48	2	5	0	1	3	57	2	52
gapped_4	0	7	3	53	53	0	53	8	53	1	0	52	1	4	3	1	2	53	1	52
gapped_4	0	16	3	53	53	0	53	4	53	0	0	53	0	4	4	0	0	53	0	53
gapped_4	8	2	3	53	53	0	53	27	53	0	0	53	0	44	44	22	25	31	0	31
gapped_4	8	7	3	53	53	0	53	8	53	0	0	53	0	44	44	4	8	49	0	49
gapped_4	8	16	3	53	53	0	53	4	53	0	0	53	0	44	44	0	4	53	0	53
random_5	0	2	3	54	54	0	54	27	54	1	2	51	1	19	16	10	9	47	1	44
random_5	0	7	3	54	54	0	54	8	54	0	0	54	0	19	19	1	4	53	0	53
random_5	0	16	3	54	54	0	54	4	54	0	1	53	0	19	18	0	4	55	0	54
random_5	8	2	3	54	54	0	54	27	54	0	1	53	0	29	28	15	18	40	0	39
random_5	8	7	3	54	54	0	54	8	54	0	0	54	0	29	29	4	6	50	0	50
random_5	8	16	3	54	54	0	54	4	54	0	0	54	0	29	29	2	3	52	0	52
gapped_5	0	2	3	54	54	0	54	27	54	2	2	50	2	4	0	1	2	57	2	53
gapped_5	0	7	3	54	54	0	54	8	54	1	0	53	1	4	3	1	2	54	1	53
gapped_5	0	16	3	54	54	0	54	4	54	0	0	54	0	4	4	0	2	54	0	54
gapped_5	8	2	3	54	54	0	54	27	54	0	0	54	0	45	45	4	25	50	0	50
gapped_5	8	7	3	54	54	0	54	8	54	0	0	54	0	45	45	10	8	44	0	44
gapped_5	8	16	3	54	54	0	54	4	54	0	0	54	0	45	45	0	4	54	0	54
random_6	0	2	3	55	55	0	55	28	55	0	2	53	0	18	16	11	15	46	0	44
random_6	0	7	3	55	55	0	55	8	55	0	0	54	1	18	17	1	6	54	0	54
random_6	0	16	3	55	55	0	55	4	55	0	1	54	0	18	17	2	3	54	0	53
random_6	8	2	3	55	55	0	55	28	55	0	1	54	0	22	21	13	15	43	0	42
random_6	8	7	3	55	55	0	55	8	55	0	0	55	0	21	21	3	6	52	0	52
random_6	8	16	3	55	55	0	55	4	55	0	0	55	0	21	21	1	4	54	0	54
