run,mode,ts,start_level,output_level,n_inputs_total,n_inputs_start,n_inputs_next,n_outputs,input_entries,reason
baseline_run1,baseline,2026/04/15-06:35:31.282246,1,2,2,1,1,,113870921,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:31.282350,1,2,2,1,1,,5750,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:31.282498,1,2,8,7,1,,1029840120,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:31.331741,0,1,6,6,0,,1380799789,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:31.331877,1,2,9,8,1,,1139650437,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:31.670001,0,1,4,4,0,,263115066,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:32.053227,0,1,4,4,0,,263098552,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:32.512311,0,1,4,4,0,,263136942,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:32.893165,0,1,4,4,0,,263092717,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:33.320157,0,1,4,4,0,,263100846,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:33.694251,0,1,25,10,15,,5465918130,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:34.032919,0,1,4,4,0,,263091380,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:34.439594,0,1,4,4,0,,263126708,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:34.837211,0,1,4,4,0,,263097708,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:35.231491,0,1,4,4,0,,263096533,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:35.699103,0,1,4,4,0,,263104077,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:36.265772,0,1,4,4,0,,263091297,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:36.636521,0,1,7,7,0,,1643781767,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:39.076018,0,1,4,4,0,,263106950,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:39.477496,0,1,4,4,0,,263120406,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:39.865265,0,1,4,4,0,,263103124,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:40.358381,0,1,4,4,0,,263117167,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:40.962156,0,1,4,4,0,,263113973,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:41.351726,0,1,6,6,0,,1380798852,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:42.082959,1,2,2,1,1,,166434823,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.083122,1,2,2,1,1,,166263392,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.083182,1,2,2,1,1,,165465461,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.083183,1,2,2,1,1,,131983385,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.083295,1,2,2,1,1,,166278829,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.083510,1,2,2,1,1,,99192321,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.083517,1,2,2,1,1,,99241245,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.083523,1,2,2,1,1,,196940306,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.083528,1,2,2,1,1,,136555061,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.084061,2,3,2,1,1,,202539537,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.084163,2,3,2,1,1,,202543811,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.084190,2,3,2,1,1,,153017698,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.084541,2,3,3,1,2,,270054629,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.084550,2,3,3,1,2,,270063127,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.084570,2,3,3,1,2,,266264411,LevelMaxLevelSize
