phase	system	workload	status	duration_sec	threads	measured_seconds	process_elapsed_sec	operations	throughput_ops_sec	avg_latency_us	successful_gets	engine_keys_read	engine_keys_written	peak_rss_kb	log_dir
pilot	baseline	workloadc	ok	3	48	3.023	4.4275102615356445	3536033	1169901.0	40.897	2131458	3536033	0	11410328	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n01_260910/pilot/workloadc/baseline
pilot	baseline	workloada	ok	5	48	5.021	6.53183650970459	5487668	1092948.0	43.834	2214861	2743453	2744215	11727124	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n01_260910/pilot/workloada/baseline
pilot	baseline	workloade	ok	5	48	5.034	7.131801128387451	417696	82968.0	575.857	0	0	20946	28315024	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n01_260910/pilot/workloade/baseline
full	baseline	workloada	ok	300	48	300.026	304.6407718658447	208699627	695604.0	69.001	90542546	104345755	104353872	54092512	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n01_260910/full/workloada/baseline
full	baseline	workloadb	ok	300	48	300.022	304.9788818359375	311167813	1037150.0	46.279	246870839	295610290	15557523	53827596	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n01_260910/full/workloadb/baseline
full	baseline	workloadc	ok	300	48	300.025	304.37564873695374	478276874	1594123.0	30.109	288362994	478276874	0	53182188	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n01_260910/full/workloadc/baseline
full	baseline	workloadd	ok	300	48	300.024	304.839067697525	797763397	2658994.0	18.051	697742867	757871564	39891833	53835452	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n01_260910/full/workloadd/baseline
full	baseline	workloade	ok	300	48	300.023	304.5908513069153	31813670	106037.0	452.657	0	0	1592175	53383972	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n01_260910/full/workloade/baseline
full	baseline	workloadf	ok	300	48	300.021	304.74315667152405	182303027	607633.0	78.993	157744693	182303027	91155994	53959136	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n01_260910/full/workloadf/baseline
