db,mode,db_size_gb,workload,threads,cache_pct,timestamp,result_dir,elapsed_s,throughput_ops_s,micros_per_op,found_count,total_ops,found_ratio,get_p50_us,get_p95_us,get_p99_us,get_p100_us,get_count,get_sum_us,sst_read_p50_us,sst_read_p95_us,sst_read_p99_us,sst_read_count,sst_read_sum_us,filter_miss,filter_hit,filter_per_get,index_miss,index_hit,index_per_get,data_miss,data_hit,data_per_get,bloom_useful,bloom_full_positive,bloom_true_positive,bloom_fpr,l0_hit,l1_hit,l2_hit,l3_hit,l4_hit,l5_hit,l6_hit,disk_read_kb,disk_write_kb,rocks_user_read_bytes,rocks_compact_read_bytes,rocks_compact_write_bytes,rocks_flush_write_bytes,raf,waf,cpu_user_pct,cpu_sys_pct,cpu_iowait_pct,cpu_idle_pct,cpu_util_pct,ctx_switches_per_sec
vcomp_1000gb,vcomp,1000,readrandom,1,0,260414_1212,log_runs/vcomp_1000gb/readrandom_1t_0p_260414_1212,542.96,1844,542.024,632101,1000000,0.6321,537.469883,838.181922,869.026095,7909.0,1000000,541600392,93.389839,146.71655,166.566339,5148812,486102461,3801755,174,3.8019,662658,60,0.6627,4665300,0,4.6653,3139898,661645,632101,0.0447,0,230,2431,24368,239681,365391,0,521456088,15732128,632101000,16891060370,15014731776,0,844.756,1.073,0.54,0.28,1.67,97.51,2.49,21344.7
vcomp_1000gb,vcomp,1000,readrandom,1,0,260414_1256,log_runs/vcomp_1000gb/readrandom_1t_0p_260414_1256,53.94,1901,526.026,63252,100000,0.6325,528.878473,833.889252,866.897248,2014.0,100000,52558460,93.577156,150.132799,167.449653,533222,50538790,372326,12,3.7234,66146,0,0.6615,66220,0,0.6622,306192,66146,63252,0.0438,0,16,235,2391,24228,36382,0,50440096,0,63252000,0,0,0,816.585,,0.36,0.31,1.75,97.58,2.42,23100.0
vcomp_1000gb,vcomp,1000,readrandom,1,0,260414_1402,log_runs/vcomp_1000gb/readrandom_1t_0p_260414_1402,518.79,1932,517.473,631627,1000000,0.6316,518.230629,829.864166,866.422743,2072.0,1000000,517043095,93.498507,146.655682,165.864058,4960307,468295682,3611752,66,3.6118,659563,0,0.6596,660442,0,0.6604,2952255,659563,631627,0.0424,0,231,2437,24928,242925,361106,0,497100692,0,631627000,0,0,0,805.905,,0.31,0.29,1.68,97.73,2.27,21546.4
vcomp_250gb,vcomp,250,readrandom,1,0,260409_1338,log_runs/vcomp_250gb/readrandom_1t_0p_260409_1338,468.67,2134,468.428,632422,1000000,0.6324,474.70225,816.524892,860.113104,2236.0,1000000,468059424,93.356187,146.328311,165.81473,4651319,426543154,3327035,1370,3.3284,659658,2,0.6597,1024532,0,1.0245,2668804,659574,632422,0.0412,0,939,9681,97023,524779,0,0,397331488,1343148,632422000,1535860590,1282600960,0,643.348,1.072,0.29,0.28,1.7,97.73,2.27,22015.7
vcomp_250gb,vcomp,250,readrandom,1,0,260410_1111,log_runs/vcomp_250gb/readrandom_1t_0p_260410_1111,607.14,1647,606.902,632422,1000000,0.6324,602.471851,856.998227,1141.259224,1958.0,1000000,606537144,129.043215,180.193073,236.061681,4650468,564572071,3326982,1377,3.3284,659573,1,0.6596,660415,0,0.6604,2668785,659574,632422,0.0412,0,939,9681,97020,524782,0,0,395779380,1240,632422000,0,0,0,640.835,,0.23,0.25,1.79,97.74,2.26,17121.0
vcomp_250gb,vcomp,250,readrandom,1,0,260414_1154,log_runs/vcomp_250gb/readrandom_1t_0p_260414_1154,458.59,2182,458.262,633017,1000000,0.633,461.689522,787.012858,856.744092,2273.0,1000000,457878104,93.340977,149.399735,166.594149,4388394,413389592,3070262,482,3.0707,656001,27,0.656,1975937,0,1.9759,2414953,655653,633017,0.0345,0,879,10102,97836,524200,0,0,459963332,5209924,633017000,5569344010,5136629760,0,744.06,1.039,0.32,0.28,1.68,97.72,2.28,21255.8
vcomp_250gb,vcomp,250,readrandom,1,0,260414_1236,log_runs/vcomp_250gb/readrandom_1t_0p_260414_1236,457.13,2188,456.884,633017,1000000,0.633,461.026062,785.350065,855.843214,1608.0,1000000,456502339,93.269383,148.959444,166.147049,4387394,411706580,3068870,490,3.0694,655639,0,0.6556,656389,0,0.6564,2413721,655639,633017,0.0345,0,876,10096,97822,524223,0,0,454222360,0,633017000,0,0,0,734.773,,0.31,0.27,1.68,97.75,2.25,21346.7
vcomp_250gb,vcomp,250,readrandom,1,0,260414_1249,log_runs/vcomp_250gb/readrandom_1t_0p_260414_1249,,,,,,,,,,,0,,,,,,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,,,
vcomp_250gb,vcomp,250,readrandom,1,0,260414_1253,log_runs/vcomp_250gb/readrandom_1t_0p_260414_1253,,,,,,,,,,,0,,,,,,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,,,
vcomp_250gb,vcomp,250,readrandom,1,0,260414_1254,log_runs/vcomp_250gb/readrandom_1t_0p_260414_1254,46.11,2186,457.384,63305,100000,0.6331,460.352558,787.846735,856.279276,1526.0,100000,45696975,93.610739,150.20465,166.745963,441081,41865877,303451,39,3.0349,65572,0,0.6557,65642,0,0.6564,237918,65572,63305,0.0346,0,98,928,9745,52534,0,0,45095688,0,63305000,0,0,0,729.452,,0.31,0.3,1.69,97.7,2.3,22036.0
vcomp_250gb,vcomp,250,readrandom,1,0,260414_1337,log_runs/vcomp_250gb/readrandom_1t_0p_260414_1337,,,,,,,,,,,0,,,,,,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,,,
vcomp_250gb,vcomp,250,readrandom,1,0,260414_1348,log_runs/vcomp_250gb/readrandom_1t_0p_260414_1348,447.85,2234,447.478,633318,1000000,0.6333,444.744725,749.273731,848.868483,1557.0,1000000,447086035,93.711337,150.023686,166.460863,4247983,403189287,2928325,420,2.9287,656207,0,0.6562,657027,0,0.657,2272538,656207,633318,0.0349,0,964,9808,99343,523203,0,0,444341940,0,633318000,0,0,0,718.448,,0.31,0.29,1.68,97.73,2.27,21244.5
vcomp_250gb,vcomp,250,readrandom,1,0,260414_1434,log_runs/vcomp_250gb/readrandom_1t_0p_260414_1434,46.03,2190,456.558,63400,100000,0.634,457.046397,784.772855,857.06051,1383.0,100000,45613846,94.308926,151.799139,168.043054,434078,41881569,296324,28,2.9635,65626,0,0.6563,65718,0,0.6572,230726,65626,63400,0.0339,0,98,1007,9772,52523,0,0,44826256,0,63400000,0,0,0,724.008,,0.34,0.32,1.72,97.62,2.38,22243.4
vcomp_250gb,vcomp,250,readrandom,1,0,260414_1443,log_runs/vcomp_250gb/readrandom_1t_0p_260414_1443,47.36,2127,470.068,63539,100000,0.6354,463.194651,792.245061,858.293002,1513.0,100000,46968071,94.24519,151.45957,168.029174,445605,43017262,307609,72,3.0768,65769,0,0.6577,65863,0,0.6586,241912,65769,63539,0.0339,0,96,1002,9977,52464,0,0,47044252,0,63539000,0,0,0,758.169,,0.35,0.31,1.71,97.64,2.36,21985.1
vcomp_250gb,vcomp,250,readrandom,1,0,260414_1506,log_runs/vcomp_250gb/readrandom_1t_0p_260414_1506,47.48,2121,471.299,63237,100000,0.6324,466.279515,800.936642,861.030928,1610.0,100000,47086223,94.2635,152.07318,168.521172,441937,42992736,304757,47,3.048,65439,0,0.6544,65523,0,0.6552,239365,65439,63237,0.0336,0,85,962,9811,52379,0,0,48247084,0,63237000,0,0,0,781.268,,0.35,0.3,1.71,97.63,2.37,22333.5
vcomp_250gb,vcomp,250,readrandom,1,0,260414_1702,log_runs/vcomp_250gb/readrandom_1t_0p_260414_1702,45.22,2229,448.503,63226,100000,0.6323,442.053754,745.57747,851.989726,2761.0,100000,44811324,94.277351,152.64937,168.540365,422866,41098870,285902,47,2.8595,65353,0,0.6535,65427,0,0.6543,220596,65353,63226,0.0325,0,64,967,9957,52238,0,0,46596464,0,63226000,0,0,0,754.67,,0.45,0.36,1.71,97.47,2.53,22606.2
