kv_size	system	bin_lower_bytes	bin_upper_exclusive_bytes	bin_lower_MiB	bin_upper_MiB	start_level	output_level	n_load_runs	n_jobs	mean_input_bytes	mean_input_MiB	mean_input_files	mean_output_files	mean_elapsed_ms	median_elapsed_ms	p90_elapsed_ms	stddev_elapsed_ms	cumulative_job_seconds	mean_read_ms	mean_write_ms	mean_merge_ms	mean_compress_ms	mean_decompress_ms	mean_sst_build_ms	mean_other_ms	mean_gather_ms	mean_split_ms	mean_diagnostics_ms	mean_mutex_wait_ms	mean_build_edit_ms	mean_commit_queue_wait_ms	mean_commit_after_queue_ms
1KB	comp	67108864	134217728	64.0	128.0	1	2	1	4257	112438990.65092789	107.23017754643239	2.050739957716702	2.1256753582334977	355.9708449612403	355.65	413.839	46.93364482964459	1515.3678869999962	42.80010711768851	68.1213406154569	111.98180197322058	0.0	0.0	110.21955085741132	22.848044397463003							
1KB	comp	67108864	134217728	64.0	128.0	2	3	1	2497	104684375.5835002	99.83480032300969	2.1369643572286745	2.00200240288346	341.1460116139367	346.128	393.875	47.313246088385625	851.8415910000018	41.46417581097317	64.46631918301962	110.53037925510613	0.0	0.0	106.14271726071286	18.54242010412495							
1KB	comp	67108864	134217728	64.0	128.0	3	4	1	1508	103018208.72480106	98.24581978302103	2.173076923076923	1.8507957559681698	315.3259270557029	315.27099999999996	375.824	48.20412544936797	475.5114980000001	38.077850132626	56.638685676392576	104.48766976127321	0.0	0.0	99.78523673740052	16.33648474801061							
1KB	comp	67108864	134217728	64.0	128.0	4	5	1	143	105700282.51748252	100.80364467380764	2.041958041958042	1.9090909090909092	291.49954545454545	292.198	353.4262	51.69042750698928	41.684434999999965	35.99886013986014	44.69495104895105	92.46740559440559	0.0	0.0	94.63071328671329	23.707615384615384							
1KB	comp	134217728	268435456	128.0	256.0	0	1	1	1	267217714	254.83867073059082	5	4	596.639	596.639	596.639		0.596639	50.328	128.184	130.871	0.0	0.0	251.789	35.467							
1KB	comp	134217728	268435456	128.0	256.0	1	2	1	3961	182399058.68821004	173.94929760762219	2.446099469830851	3.304216107043676	489.74542186316586	464.961	655.591	101.30168782151357	1939.8816159999983	67.48680509972229	114.58148548346377	177.6095326937642	0.0	0.0	102.34872380711941	27.718874779096186							
1KB	comp	134217728	268435456	128.0	256.0	2	3	1	8593	209772191.45106483	200.05435128313525	3.5374141743279415	3.481903875247294	579.3197079017805	568.949	716.3929999999999	101.41892580500547	4978.094249999995	81.79310462003957	133.8922446177121	219.2338942162225	0.0	0.0	116.08195286861398	28.318511579192364							
1KB	comp	134217728	268435456	128.0	256.0	3	4	1	4006	204103262.7863205	194.64803961402941	3.4458312531203195	3.2948077883175237	587.0283841737394	577.3525	746.4775	116.69136288493468	2351.6357069999963	74.64495756365451	115.58716125811283	208.61584398402397	0.0	0.0	163.17502820768846	25.00539316025961							
1KB	comp	134217728	268435456	128.0	256.0	4	5	1	1522	167584416.9264126	159.82095425263654	2.150459921156373	2.545335085413929	438.49473127463864	439.929	502.2630000000001	54.9777172332293	667.388981	55.10903876478318	71.80333508541393	144.77746254927726	0.0	0.0	136.57417608409986	30.23071879106439							
1KB	comp	268435456	536870912	256.0	512.0	0	1	1	4	445693732.25	425.04666543006897	6.5	7	1133.12875	1306.286	1393.593	416.7872162989767	4.532515	159.6205	261.3075	409.93925	0.0	0.0	251.68325	50.57825							
1KB	comp	268435456	536870912	256.0	512.0	1	2	1	777	324445019.8983269	309.41488256294906	3.3204633204633205	5.539253539253539	857.6794646074646	812.416	1091.319	157.64563580908649	666.4169439999996	118.69276576576577	204.02996525096526	317.9151853281853	0.0	0.0	178.55612612612612	38.48542213642214							
1KB	comp	268435456	536870912	256.0	512.0	2	3	1	5952	333633159.95228493	318.1773757479524	5.393649193548387	5.364079301075269	871.0701453293011	849.802	1020.4253000000002	120.65928341768533	5184.609505000002	121.81725504032258	206.80654233870968	323.936752688172	0.0	0.0	179.56490826612904	38.94468699596774							
1KB	comp	268435456	536870912	256.0	512.0	3	4	1	9882	374956990.9775349	357.58685205224504	5.966504756122243	5.6246711192066385	1018.3302080550496	1021.514	1183.7919	133.648860825862	10063.139115999982	135.78469722728192	218.387186095932	371.37942825339	0.0	0.0	250.07459927140255	42.70429720704311							
1KB	comp	536870912	1073741824	512.0	1024.0	0	1	1	152	600582283.9539474	572.7598990954851	8.921052631578947	9.197368421052632	1575.9262434210527	1556.9555	1720.5813	112.16392627384938	239.54078899999988	218.35084210526315	383.0146513157895	589.9506973684211	0.0	0.0	317.85622368421053	66.75382894736842							
1KB	comp	536870912	1073741824	512.0	1024.0	1	2	1	13	593347817.0769231	565.8605738419753	7.846153846153846	9.307692307692308	1498.4611538461538	1498.31	1539.2495999999999	91.4439638611594	19.479995000000002	204.4663076923077	367.5467692307692	546.9606153846154	0.0	0.0	314.7048461538462	64.78261538461538							
1KB	comp	536870912	1073741824	512.0	1024.0	2	3	1	249	644919541.8473896	615.0432032083412	9.349397590361447	10.056224899598394	1617.7010722891566	1601.0	1828.8960000000002	178.4371638682863	402.80756699999966	221.56556224899597	390.38751004016063	599.9140803212852	0.0	0.0	339.7677389558233	66.06618072289156							
1KB	comp	536870912	1073741824	512.0	1024.0	3	4	1	50	594076416.22	566.5554201316834	7.9	7.86	1453.77302	1429.2075	1660.5184000000002	168.46407529621192	72.68865100000001	195.81146	343.86478	527.95046	0.0	0.0	324.12272	62.0236							
1KB	comp	1073741824	2147483648	1024.0	2048.0	1	2	1	4	1123537919.75	1071.4892575740814	9	17	2627.6835	2639.4335	2742.2141	133.16099707371774	10.510734000000001	245.959	538.418	754.281	0.0	0.0	967.69925	121.32625							
1KB	comp	2147483648	4294967296	2048.0	4096.0	0	1	1	199	3854614286.155779	3676.0466443593778	19.326633165829147	48.97989949748744	6944.115396984925	6927.964	7218.9426	220.43122467572186	1381.8789639999998	727.029175879397	1767.6447336683418	2272.5858844221107	0.0	0.0	1837.3865025125629	339.46910050251256							
1KB	comp	4294967296	8589934592	4096.0	8192.0	0	1	1	76	4650731566.013158	4435.283247006567	21.06578947368421	52.51315789473684	8342.114105263157	8389.0635	8552.260999999999	202.94692865374623	634.0006720000002	884.3191710526315	2063.9821184210527	2778.743210526316	0.0	0.0	2214.7012105263157	400.3683947368421							
1KB	vcomp	524288	1048576	0.5	1.0	2	3	1	1	622135	0.5933141708374023	2	1	1.479062	1.479062	1.479062		0.0014790620000000002			0.024678				0.069551	0.001542	0.012461	8.6e-05	0.883527	0.002729	0.055971	0.428517
1KB	vcomp	1048576	2097152	1.0	2.0	2	3	1	1	1551891	1.4799985885620117	2	1	14.781117	14.781117	14.781117		0.014781117			0.024597				3.776614	0.00179	0.012095	0.006995	4.448049	0.004175	3.173336	3.333466
1KB	vcomp	1048576	2097152	1.0	2.0	3	4	1	1	1800450	1.7170429229736328	2	1	9.609879	9.609879	9.609879		0.009609879			0.029971				0.358509	0.002424	0.01392	0.006561	3.622107	0.005993	3.521654	2.04874
