kv_size	system	stage	mean_ms	mean_total_ms	share_pct	n_jobs	n_load_runs
1KB	comp	read	94.14780087271419	710.3047733417305	13.254564013385743	44459	1
1KB	comp	write	156.80545862480037	710.3047733417305	22.07579964401571	44459	1
1KB	comp	merge	255.98852943161114	710.3047733417305	36.03925230957923	44459	1
1KB	comp	compress	0.0	710.3047733417305	0.0	44459	1
1KB	comp	decompress	0.0	710.3047733417305	0.0	44459	1
1KB	comp	sst_build	169.79691504532266	710.3047733417305	23.904797126237625	44459	1
1KB	comp	other	33.56606936728222	710.3047733417305	4.725586906781695	44459	1
1KB	vcomp	gather	0.0028137005542984077	10.1025864791671	0.027851288975359323	48169	1
1KB	vcomp	merge	0.667763985031867	10.1025864791671	6.609831911945388	48169	1
1KB	vcomp	split	0.3538682455521186	10.1025864791671	3.502748986923723	48169	1
1KB	vcomp	diagnostics	0.0011626348688990845	10.1025864791671	0.011508289201944423	48169	1
1KB	vcomp	mutex_wait	1.8200758984616663	10.1025864791671	18.01593980130642	48169	1
1KB	vcomp	build_edit	0.016372026407025266	10.1025864791671	0.162057770460927	48169	1
1KB	vcomp	commit_queue_wait	2.3375602991758186	10.1025864791671	23.138235975472067	48169	1
1KB	vcomp	commit_after_queue	3.3723106847972764	10.1025864791671	33.38066634471714	48169	1
1KB	vcomp	other	1.5306590043181298	10.1025864791671	15.151159630997032	48169	1
91B	comp	read	67.18801568240174	1744.4546171834882	3.8515198401022466	50630	1
91B	comp	write	140.03373640134308	1744.4546171834882	8.02736482921148	50630	1
91B	comp	merge	625.758170156034	1744.4546171834882	35.87127827758299	50630	1
91B	comp	compress	0.0	1744.4546171834882	0.0	50630	1
91B	comp	decompress	0.0	1744.4546171834882	0.0	50630	1
91B	comp	sst_build	680.4271865692277	1744.4546171834882	39.00515266300321	50630	1
91B	comp	other	231.04750837448154	1744.4546171834882	13.24468439010008	50630	1
91B	vcomp	gather	0.002960469957246851	9.83262368690059	0.03010864700528412	51926	1
91B	vcomp	merge	0.6524092711936217	9.83262368690059	6.635149396216466	51926	1
91B	vcomp	split	0.3430938370373223	9.83262368690059	3.4893416850113512	51926	1
91B	vcomp	diagnostics	0.0012057104340792667	9.83262368690059	0.01226234698359871	51926	1
91B	vcomp	mutex_wait	1.7776653289103725	9.83262368690059	18.079257230993683	51926	1
91B	vcomp	build_edit	0.01776032636829334	9.83262368690059	0.18062652384382766	51926	1
91B	vcomp	commit_queue_wait	2.2231181011631937	9.83262368690059	22.60961236749983	51926	1
91B	vcomp	commit_after_queue	3.328889954589223	9.83262368690059	33.855561451254374	51926	1
91B	vcomp	other	1.4855206872472364	9.83262368690059	15.108080351191575	51926	1
