system	workload	operations	throughput_ops_sec	avg_latency_us	compaction_read_bytes	compaction_write_bytes	positive_lookups	total_lookup_requests	positive_lookups_pct	filter_checks_per_get	device_read_ios	device_write_ios	device_read_bytes	device_write_bytes	flush_write_bytes	filter_cache_accesses_per_op	compaction_write_per_op_bytes	measured_seconds	source_run	source_db_dir
fillseq_sparse	A	225074191	750194.0	63.982	509259054657	471107039232	97804417	112533762	86.91117693195044	9.075370607444901	52599330	1246196	1013125226496	579625877504	79850717414	4.537592602076709	2093.1188828842664	300.021	fillseq_sparse_260913_run2_full_measure	/work/vcomp/exp/fillseq_sparse_260913_run2/full_sparse
fillseq_sparse	C	595902224	1986129.0	24.166	0	0	359291209	595902224	60.29365129538432	0.9999973217082674	133836762	36	1107750195200	1519616	0	0.9999973217082674	0.0	300.032	fillseq_sparse_260913_run2_full_measure	/work/vcomp/exp/fillseq_sparse_260913_run2/full_sparse
