workload	metric	unit	baseline_n	baseline_mean	baseline_min	baseline_max	baseline_sd	f2load_n	f2load_mean	f2load_min	f2load_max	f2load_sd	absolute_mean_difference	mean_difference_pct	percentage_point_difference	f2load_mean_in_baseline_range
A	throughput_ops_sec	ops/s	10	699783.2	689211.0	724412.0	10653.980359992744	9	695134.8888888889	681749.0	706421.0	8517.767275589953	-4648.3111111110775	-0.6642501722120664		True
A	avg_latency_us	us	10	68.6035	66.257	69.641	1.0273690508608215	9	69.05666666666667	67.945	70.402	0.8517980981429847	0.45316666666667516	0.6605591065567795		True
A	filter_checks_per_get	checks/Get	10	8.931472940407216	8.858696428268903	9.001943490716108	0.05272962291452086	9	8.870801361624537	8.759180422110445	8.955619320547516	0.06470737770244159	-0.0606715787826797	-0.6793009304007724		True
A	positive_lookup_pct	%	10	86.78262083703797	86.75468849993585	86.84692744417755	0.02791054636026244	9	86.75193198632812	86.70676445523753	86.78759442200185	0.02583006137365669	-0.030688850709850612	-0.03536289917710489	-0.030688850709850612	False
A	bloom_false_positive_pct	%	10	0.9667141909754162	0.9541506186272066	0.9739296283559274	0.005893189096999355	9	0.9624252669129943	0.9573013860861803	0.9678443583081346	0.0031931805497985464	-0.004288924062421873	-0.4436599878702818	-0.004288924062421873	True
A	data_cache_misses_per_op	misses/op	10	1.0872223249439952	1.0655401862172633	1.100033540688641	0.010028372648373012	9	1.1046836312329857	1.0890534392794118	1.1195263839359058	0.01156200298906222	0.017461306288990563	1.606047437435576		False
A	data_cache_hit_pct	%	10	13.524393168973972	13.378407267550546	13.74903772717543	0.09911104754226584	9	13.423342475072156	13.281785519656145	13.55786551631748	0.10469197777086792	-0.10105069390181676	-0.7471735895229314	-0.10105069390181676	True
A	compaction_read_bytes	bytes	10	842432266936.4	817877424970	883388260458	19341352931.95526	9	854031095229.6666	824021551227	881325201704	18242007785.886105	11598828293.266602	1.376826214818072		True
A	compaction_write_bytes	bytes	10	786225478451.2	762578894848	825187807232	18349090064.3079	9	797688636757.3334	769551368192	823339560960	17154174403.258022	11463158306.133423	1.457998833707963		True
A	compaction_read_bytes_per_op	bytes/op	10	4012.1508707859393	3918.3399486229605	4064.4522686379523	43.184308723088584	9	4094.599269499699	4027.5277805490746	4158.312776879895	49.74905628314129	82.44839871375962	2.054967556531806		False
A	compaction_write_bytes_per_op	bytes/op	10	3744.446148851297	3653.4121818673116	3796.6731111160607	41.67805796761826	9	3824.469619611651	3761.168227743661	3884.7220179691726	47.49669402472721	80.02347076035403	2.137124359096565		False
A	flush_write_bytes_per_op	bytes/op	10	354.8448017698565	354.7503690440029	354.99015404037993	0.08188345043306258	9	354.8771279055142	354.79101880023165	354.9564682857673	0.06100251638898058	0.03232613565774045	0.009109936371198835		True
A	device_read_ios	I/Os	10	50522109	49677419	52506219	859103.0718421781	9	50184153.333333336	49069718	51168132	699018.6961464264	-337955.6666666642	-0.6689262846621524		True
A	device_write_ios	I/Os	10	1791105.3	1720101	1901805	57209.89009496328	9	1871010.7777777778	1764760	1960289	56912.97857206601	79905.4777777777	4.461238419526636		True
A	device_read_bytes	bytes	10	1359220489011.2	1328376033280	1417820471296	26730278754.341393	9	1363448201671.111	1324663832576	1397729472512	23282783532.694492	4227712659.911133	0.31103950345736653		True
A	device_write_bytes	bytes	10	886811706163.2	861148430336	928467005440	19711684446.71316	9	902361283242.6666	872224960512	929547816960	17135488649.75539	15549577079.466675	1.7534248782914874		True
