workload	metric	unit	baseline_n	baseline_mean	baseline_min	baseline_max	baseline_sd	f2load_n	f2load_mean	f2load_min	f2load_max	f2load_sd	absolute_mean_difference	mean_difference_pct	percentage_point_difference	f2load_mean_in_baseline_range
A	throughput_ops_sec	ops/s	10	699783.2	689211.0	724412.0	10653.980359992744	10	695066.3	681749.0	706421.0	8033.556525945129	-4716.899999999907	-0.6740516205590352		True
A	avg_latency_us	us	10	68.6035	66.257	69.641	1.0273690508608215	10	69.0627	67.945	70.402	0.8033095501320388	0.4592000000000098	0.6693536044079629		True
A	filter_checks_per_get	checks/Get	10	8.931472940407216	8.858696428268903	9.001943490716108	0.05272962291452086	10	8.878323684475447	8.759180422110445	8.955619320547516	0.06548030961849954	-0.053149255931769446	-0.595078284247097		True
A	positive_lookup_pct	%	10	86.78262083703797	86.75468849993585	86.84692744417755	0.02791054636026244	10	86.75175210857576	86.70676445523753	86.78759442200185	0.02435945767745288	-0.03086872846220956	-0.03557017311124344	-0.03086872846220956	False
A	bloom_false_positive_pct	%	10	0.9667141909754162	0.9541506186272066	0.9739296283559274	0.005893189096999355	10	0.9619358233363501	0.9573013860861803	0.9678443583081346	0.0033851172228766394	-0.004778367639066139	-0.4942895928986779	-0.004778367639066139	True
A	data_cache_misses_per_op	misses/op	10	1.0872223249439952	1.0655401862172633	1.100033540688641	0.010028372648373012	10	1.104474417587227	1.0890534392794118	1.1195263839359058	0.010920819242845421	0.017252092643231798	1.5868044876764742		False
A	data_cache_hit_pct	%	10	13.524393168973972	13.378407267550546	13.74903772717543	0.09911104754226584	10	13.428001172094453	13.281785519656145	13.55786551631748	0.09979790294596322	-0.09639199687951994	-0.7127269643465439	-0.09639199687951994	True
A	compaction_read_bytes	bytes	10	842432266936.4	817877424970	883388260458	19341352931.95526	10	853756536815.3	824021551227	881325201704	17220631016.776207	11324269878.900024	1.3442350588115604		True
A	compaction_write_bytes	bytes	10	786225478451.2	762578894848	825187807232	18349090064.3079	10	797411934208	769551368192	823339560960	16196763677.873095	11186455756.800049	1.4228050430057815		True
A	compaction_read_bytes_per_op	bytes/op	10	4012.1508707859393	3918.3399486229605	4064.4522686379523	43.184308723088584	10	4093.715480574348	4027.5277805490746	4158.312776879895	46.98705054033128	81.56460978840869	2.032939747662854		False
A	compaction_write_bytes_per_op	bytes/op	10	3744.446148851297	3653.4121818673116	3796.6731111160607	41.67805796761826	10	3823.5468322464067	3761.168227743661	3884.7220179691726	44.8752911883581	79.10068339510963	2.1124801973551044		False
A	flush_write_bytes_per_op	bytes/op	10	354.8448017698565	354.7503690440029	354.99015404037993	0.08188345043306258	10	354.88683839070853	354.79101880023165	354.97423275745757	0.06519788092172786	0.04203662085205906	0.011846480670540949		True
A	device_read_ios	I/Os	10	50522109	49677419	52506219	859103.0718421781	10	50175371.3	49069718	51168132	659626.0110724443	-346737.700000003	-0.6863088395617112		True
A	device_write_ios	I/Os	10	1791105.3	1720101	1901805	57209.89009496328	10	1870015	1764760	1960289	53750.38877792213	78909.69999999995	4.405642705652202		True
