phase	system	workload	status	duration_sec	threads	measured_seconds	process_elapsed_sec	operations	throughput_ops_sec	avg_latency_us	successful_gets	engine_keys_read	engine_keys_written	peak_rss_kb	log_dir
pilot	f2load	workloadc	ok	3	48	3.035	4.279370069503784	3613569	1190639.0	40.034	2261080	3613569	0	11478352	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f04_260911/pilot/workloadc/f2load
pilot	f2load	workloada	ok	5	48	5.035	6.383506774902344	5601914	1112567.0	42.937	2260984	2800758	2801156	11776880	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f04_260911/pilot/workloada/f2load
pilot	f2load	workloade	ok	5	48	5.032	6.984392404556274	425718	84600.0	565.097	0	0	21373	28486132	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f04_260911/pilot/workloade/f2load
full	f2load	workloada	ok	300	48	300.033	304.5153567790985	208726440	695677.0	68.992	90533335	104359082	104367358	54102592	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f04_260911/full/workloada/f2load
full	f2load	workloadb	ok	300	48	300.036	304.8901889324188	310984323	1036490.0	46.308	246662006	295436096	15548227	53765968	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f04_260911/full/workloadb/f2load
full	f2load	workloadc	ok	300	48	300.032	304.2473247051239	493448768	1644652.0	29.184	308791732	493448768	0	53171360	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f04_260911/full/workloadc/f2load
full	f2load	workloadd	ok	300	48	300.029	304.5982940196991	809853130	2699250.0	17.782	708106385	769357211	40495919	53815740	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f04_260911/full/workloadd/f2load
full	f2load	workloade	ok	300	48	300.031	304.4600930213928	32027543	106747.0	449.63	0	0	1602936	53378316	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f04_260911/full/workloade/f2load
full	f2load	workloadf	ok	300	48	300.03	304.6747455596924	179447271	598098.0	80.25	155186439	179447271	89728157	54006748	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f04_260911/full/workloadf/f2load
