phase	system	workload	status	duration_sec	threads	measured_seconds	process_elapsed_sec	operations	throughput_ops_sec	avg_latency_us	successful_gets	engine_keys_read	engine_keys_written	peak_rss_kb	log_dir
pilot	f2load	workloadc	ok	3	48	3.031	4.278049945831299	3623400	1195641.0	39.885	2408324	3623400	0	11494880	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f10_260912/pilot/workloadc/f2load
pilot	f2load	workloada	ok	5	48	5.023	6.38180685043335	5827666	1160123.0	41.303	2353976	2913533	2914133	12053168	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f10_260912/pilot/workloada/f2load
pilot	f2load	workloade	ok	5	48	5.03	7.033854007720947	426005	84691.0	564.803	0	0	21391	28449544	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f10_260912/pilot/workloade/f2load
full	f2load	workloada	ok	300	48	300.029	304.38010120391846	208624239	695346.0	69.026	90492222	104307730	104316509	54071472	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f10_260912/full/workloada/f2load
full	f2load	workloadb	ok	300	48	300.032	304.83595752716064	313069629	1043452.0	45.998	248352647	297417274	15652355	53778076	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f10_260912/full/workloadb/f2load
full	f2load	workloadc	ok	300	48	300.028	304.351300239563	491140282	1636981.0	29.321	326477853	491140282	0	53162300	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f10_260912/full/workloadc/f2load
full	f2load	workloadd	ok	300	48	300.021	304.6562650203705	819480067	2731411.0	17.573	716391985	778503190	40976877	53802272	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f10_260912/full/workloadd/f2load
full	f2load	workloade	ok	300	48	300.032	304.515145778656	32055698	106840.0	449.235	0	0	1604370	53369408	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f10_260912/full/workloade/f2load
full	f2load	workloadf	ok	300	48	300.026	304.6882665157318	179258801	597476.0	80.334	155025260	179258801	89633501	53989008	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f10_260912/full/workloadf/f2load
