Linux 5.4.0-216-generic (dskbi001) 	09/11/2026 	_x86_64_	(96 CPU)

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
nvme1n1        246.20  91880.00    81.00  24.76    0.29   373.19  192.20  90373.60     9.20   4.57    0.40   470.21    0.00      0.00     0.00   0.00    0.00     0.00    0.00  49.04
nvme20n1       233.20  88090.40    73.00  23.84    0.30   377.75  194.40  90836.80    13.80   6.63    0.40   467.27    0.00      0.00     0.00   0.00    0.00     0.00    0.00  48.88
nvme21n1       234.60  88335.20    75.40  24.32    0.29   376.54  193.40  90519.20    10.20   5.01    0.38   468.04    0.00      0.00     0.00   0.00    0.00     0.00    0.00  47.84
nvme22n1       236.40  88780.00    75.80  24.28    0.30   375.55  192.60  89828.00     7.40   3.70    0.35   466.40    0.00      0.00     0.00   0.00    0.00     0.00    0.00  48.08
nvme23n1       239.00  90537.60    75.60  24.03    0.29   378.82  193.60  90562.40    10.60   5.19    0.36   467.78    0.00      0.00     0.00   0.00    0.00     0.00    0.00  49.92
nvme24n1       245.60  92976.80    77.60  24.01    0.28   378.57  196.80  91606.40     8.40   4.09    0.36   465.48    0.00      0.00     0.00   0.00    0.00     0.00    0.00  50.16
nvme25n1       252.60  95268.00    81.20  24.33    0.29   377.15  194.80  91032.00    11.60   5.62    0.36   467.31    0.00      0.00     0.00   0.00    0.00     0.00    0.00  50.48
nvme26n1       254.60  95912.80    82.80  24.54    0.29   376.72  199.00  92480.80    11.00   5.24    0.36   464.73    0.00      0.00     0.00   0.00    0.00     0.00    0.00  49.36
nvme27n1       253.80  94402.40    85.00  25.09    0.28   371.96  199.20  92484.80     8.00   3.86    0.19   464.28    0.00      0.00     0.00   0.00    0.00     0.00    0.00  49.52
nvme28n1       254.80  95132.00    80.20  23.94    0.29   373.36  197.20  90956.00    11.80   5.65    0.38   461.24    0.00      0.00     0.00   0.00    0.00     0.00    0.00  49.12
nvme29n1       245.40  92152.80    79.40  24.45    0.31   375.52  192.00  89851.20     6.40   3.23    0.36   467.98    0.00      0.00     0.00   0.00    0.00     0.00    0.00  47.44
