system	arm	workload	window_sec	start_sec_exclusive	end_sec_inclusive	sample_count	mean_nominal_qps	min_nominal_qps	max_nominal_qps
baseline	n04	A	60	60	120	60	710972.55	43907	1140997
baseline	n04	A	60	120	180	60	712104.9666666667	16232	1148395
baseline	n04	A	60	180	240	60	732648.7	16063	1221584
baseline	n04	A	60	240	300	60	713910.6833333333	16204	1139624
baseline	r01	A	30	0	30	30	683086.3666666667	16132	1259561
baseline	r01	A	30	30	60	30	725610.9	142720	1104565
baseline	r01	A	30	60	90	30	661624.4666666667	111793	1177054
baseline	r01	A	30	90	120	30	643087.3	16165	1227385
baseline	r01	A	30	120	150	30	717179.3333333334	136823	1131222
baseline	r01	A	30	150	180	30	723249.7333333333	108598	1206966
baseline	r01	A	30	180	210	30	722607.7666666667	16154	1187802
baseline	r01	A	30	210	240	30	698632.2	16248	1038145
baseline	r01	A	30	240	270	30	616826.5333333333	16345	1140478
baseline	r01	A	30	270	300	30	708021	16015	1120951
baseline	r01	A	60	0	60	60	704348.6333333333	16132	1259561
baseline	r01	A	60	60	120	60	652355.8833333333	16165	1227385
baseline	r01	A	60	120	180	60	720214.5333333333	108598	1206966
baseline	r01	A	60	180	240	60	710619.9833333333	16154	1187802
baseline	r01	A	60	240	300	60	662423.7666666667	16015	1140478
baseline	r02	A	30	0	30	30	714265.4	16007	1191426
baseline	r02	A	30	30	60	30	702560.7333333333	270706	1135033
baseline	r02	A	30	60	90	30	641036.0666666667	16005	1065232
baseline	r02	A	30	90	120	30	728477	16103	1113953
baseline	r02	A	30	120	150	30	777938.9333333333	225475	1037284
baseline	r02	A	30	150	180	30	674662.6666666666	16010	1126424
baseline	r02	A	30	180	210	30	691364.8	16005	1151493
baseline	r02	A	30	210	240	30	659916.2333333333	15890	1129109
baseline	r02	A	30	240	270	30	769216.9333333333	242190	1142953
baseline	r02	A	30	270	300	30	681622.9333333333	16269	1119463
baseline	r02	A	60	0	60	60	708413.0666666667	16007	1191426
baseline	r02	A	60	60	120	60	684756.5333333333	16005	1113953
baseline	r02	A	60	120	180	60	726300.8	16010	1126424
baseline	r02	A	60	180	240	60	675640.5166666667	15890	1151493
baseline	r02	A	60	240	300	60	725419.9333333333	16269	1142953
baseline	run3	A	30	0	30	30	755365.8333333334	254361	1235549
baseline	run3	A	30	30	60	30	720452.0333333333	71645	1111467
baseline	run3	A	30	60	90	30	698065.6333333333	242591	1177399
baseline	run3	A	30	90	120	30	711440.8	16119	1253466
baseline	run3	A	30	120	150	30	654959.6	13282	1108197
baseline	run3	A	30	150	180	30	759384.2333333333	145618	1152486
baseline	run3	A	30	180	210	30	743730.4666666667	16040	1182486
baseline	run3	A	30	210	240	30	634389.7666666667	16090	1056293
baseline	run3	A	30	240	270	30	681013.4333333333	16236	1113303
baseline	run3	A	30	270	300	30	690149.4	10967	1184368
baseline	run3	A	60	0	60	60	737908.9333333333	71645	1235549
baseline	run3	A	60	60	120	60	704753.2166666667	16119	1253466
baseline	run3	A	60	120	180	60	707171.9166666666	13282	1152486
baseline	run3	A	60	180	240	60	689060.1166666667	16040	1182486
baseline	run3	A	60	240	300	60	685581.4166666666	10967	1184368
f2load	f01	A	30	0	30	30	728646.2333333333	16039	1258705
f2load	f01	A	30	30	60	30	716423.2333333333	288581	1164341
f2load	f01	A	30	60	90	30	701324.5333333333	92664	1158853
f2load	f01	A	30	90	120	30	689306.2333333333	35592	1087630
f2load	f01	A	30	120	150	30	681156.0333333333	15826	1194384
f2load	f01	A	30	150	180	30	722560	42113	1189342
f2load	f01	A	30	180	210	30	711777.5333333333	15895	1103312
f2load	f01	A	30	210	240	30	624466.1666666666	15942	1157820
f2load	f01	A	30	240	270	30	681940.6333333333	16238	1109539
f2load	f01	A	30	270	300	30	687456.2333333333	87160	1148204
f2load	f01	A	60	0	60	60	722534.7333333333	16039	1258705
f2load	f01	A	60	60	120	60	695315.3833333333	35592	1158853
f2load	f01	A	60	120	180	60	701858.0166666667	15826	1194384
f2load	f01	A	60	180	240	60	668121.85	15895	1157820
f2load	f01	A	60	240	300	60	684698.4333333333	16238	1148204
f2load	f02	A	30	0	30	30	773889.1666666666	15929	1197774
f2load	f02	A	30	30	60	30	680402.2333333333	41597	1049455
f2load	f02	A	30	60	90	30	715674.4333333333	119237	1128727
f2load	f02	A	30	90	120	30	672643.6	16051	1049871
f2load	f02	A	30	120	150	30	595501.4	13968	1207391
f2load	f02	A	30	150	180	30	760451.7	16336	1032331
f2load	f02	A	30	180	210	30	715742.1	15099	1185903
f2load	f02	A	30	210	240	30	725108.4333333333	16258	1186205
f2load	f02	A	30	240	270	30	739188.6666666666	15940	1143154
f2load	f02	A	30	270	300	30	648529.1666666666	15999	1071338
f2load	f02	A	60	0	60	60	727145.7	15929	1197774
f2load	f02	A	60	60	120	60	694159.0166666667	16051	1128727
f2load	f02	A	60	120	180	60	677976.55	13968	1207391
f2load	f02	A	60	180	240	60	720425.2666666667	15099	1186205
f2load	f02	A	60	240	300	60	693858.9166666666	15940	1143154
f2load	f03	A	30	0	30	30	737157.4666666667	196541	1228501
f2load	f03	A	30	30	60	30	701202.4333333333	149855	1052359
f2load	f03	A	30	60	90	30	640537.7666666667	16054	995868
f2load	f03	A	30	90	120	30	689509.1666666666	16280	1131185
f2load	f03	A	30	120	150	30	720936.7333333333	91439	1133659
f2load	f03	A	30	150	180	30	641236.7666666667	25706	1126355
f2load	f03	A	30	180	210	30	698476.6666666666	14304	1134733
f2load	f03	A	30	210	240	30	699374.8	15678	1165114
f2load	f03	A	30	240	270	30	723775.8666666667	42049	1093306
f2load	f03	A	30	270	300	30	565942.4333333333	16128	1163457
f2load	f03	A	60	0	60	60	719179.95	149855	1228501
f2load	f03	A	60	60	120	60	665023.4666666667	16054	1131185
f2load	f03	A	60	120	180	60	681086.75	25706	1133659
f2load	f03	A	60	180	240	60	698925.7333333333	14304	1165114
f2load	f03	A	60	240	300	60	644859.15	16128	1163457
f2load	f04	A	30	0	30	30	751772.7333333333	59997	1311387
f2load	f04	A	30	30	60	30	713803.6	184434	1024103
f2load	f04	A	30	60	90	30	660153.8333333334	13973	1178584
f2load	f04	A	30	90	120	30	659110.7333333333	16213	1149220
f2load	f04	A	30	120	150	30	662845.0333333333	64963	1114287
f2load	f04	A	30	150	180	30	777931.7	16329	1222306
f2load	f04	A	30	180	210	30	663588.1	16366	1035515
f2load	f04	A	30	210	240	30	685831.8333333334	16144	1064950
f2load	f04	A	30	240	270	30	660815.2	15780	1190470
f2load	f04	A	30	270	300	30	721573.7333333333	16090	1053347
