phase	system	workload	status	duration_sec	threads	measured_seconds	process_elapsed_sec	operations	throughput_ops_sec	avg_latency_us	successful_gets	engine_keys_read	engine_keys_written	peak_rss_kb	log_dir
pilot	f2load	workloadc	ok	3	48	3.024	4.227096319198608	3278781	1084397.0	44.081	2009706	3278781	0	11030020	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f13_260912/pilot/workloadc/f2load
pilot	f2load	workloada	ok	5	48	5.025	6.431457281112671	5420834	1078870.0	44.385	2186033	2709798	2711036	11614768	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f13_260912/pilot/workloada/f2load
pilot	f2load	workloade	ok	5	48	5.029	6.982212781906128	416206	82755.0	577.992	0	0	20874	28231992	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f13_260912/pilot/workloade/f2load
full	f2load	workloada	ok	300	48	300.026	304.4845631122589	211998794	706600.0	67.928	91979592	105995394	106003400	54117844	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f13_260912/full/workloada/f2load
full	f2load	workloadb	ok	300	48	300.027	304.8131744861603	317814721	1059288.0	45.311	252180584	301925850	15888871	53748732	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f13_260912/full/workloadb/f2load
full	f2load	workloadc	ok	300	48	300.019	304.06069016456604	420293078	1400885.0	34.263	257666464	420293078	0	53163920	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f13_260912/full/workloadc/f2load
full	f2load	workloadd	ok	300	48	300.029	304.80932354927063	794391998	2647713.0	18.128	694045691	754668892	39723106	53811916	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f13_260912/full/workloadd/f2load
full	f2load	workloade	ok	300	48	300.024	304.47492003440857	31649175	105488.0	455.008	0	0	1584021	53362884	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f13_260912/full/workloade/f2load
full	f2load	workloadf	ok	300	48	300.034	304.72056102752686	179936994	599721.0	80.031	155610584	179936994	89973084	53996112	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f13_260912/full/workloadf/f2load
