phase	system	workload	status	duration_sec	threads	measured_seconds	process_elapsed_sec	operations	throughput_ops_sec	avg_latency_us	successful_gets	engine_keys_read	engine_keys_written	peak_rss_kb	log_dir
pilot	baseline_repeat_01	workloada	ok	3	48	3.025	4.479809284210205	3486446	1152480.0	41.437	1394014	1742860	1743586	9334480	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/baseline_repeat_ycsb_all_260908_night_n03/pilot/workloada/baseline_repeat_01
full	baseline_repeat_01	workloada	ok	300	48	300.024	304.71143531799316	182717500	609008.0	78.814	79049555	91353891	91363609	54079668	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/baseline_repeat_ycsb_all_260908_night_n03/full/workloada/baseline_repeat_01
full	baseline_repeat_01	workloadb	ok	300	48	300.027	305.06520915031433	316916340	1056293.0	45.439	251523031	301072447	15843893	53770556	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/baseline_repeat_ycsb_all_260908_night_n03/full/workloadb/baseline_repeat_01
full	baseline_repeat_01	workloadc	ok	300	48	300.022	304.45095205307007	472663199	1575429.0	30.467	284978149	472663199	0	53186564	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/baseline_repeat_ycsb_all_260908_night_n03/full/workloadc/baseline_repeat_01
full	baseline_repeat_01	workloadd	ok	300	48	300.026	304.89298939704895	788343531	2627586.0	18.267	689334562	748923056	39420475	53831852	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/baseline_repeat_ycsb_all_260908_night_n03/full/workloadd/baseline_repeat_01
full	baseline_repeat_01	workloade	ok	300	48	300.026	304.7026484012604	28987762	96617.0	496.788	0	0	1450882	53384144	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/baseline_repeat_ycsb_all_260908_night_n03/full/workloade/baseline_repeat_01
full	baseline_repeat_01	workloadf	ok	300	48	300.036	304.9846806526184	173171931	577171.0	83.158	149685366	173171931	86590683	53946796	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/baseline_repeat_ycsb_all_260908_night_n03/full/workloadf/baseline_repeat_01
