workload	system	metric	value	unit	source_result_dir
workloadc	vcomp	latency_p95	101.497158	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_c_260610/vcomp/motivation_10tb_1kb_w512/workloadc
workloadc	vcomp	latency_p99	109.607548	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_c_260610/vcomp/motivation_10tb_1kb_w512/workloadc
workloadc	vcomp	disk_read	992901.17	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_c_260610/vcomp/motivation_10tb_1kb_w512/workloadc
workloadc	vcomp	disk_write	0.00	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_c_260610/vcomp/motivation_10tb_1kb_w512/workloadc
workloadd	baseline	throughput	2265668	ops/sec	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/baseline/motivation_10tb_1kb_basecopy/workloadd
workloadd	baseline	latency_p50	3.663920	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/baseline/motivation_10tb_1kb_basecopy/workloadd
workloadd	baseline	latency_p95	100.177948	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/baseline/motivation_10tb_1kb_basecopy/workloadd
workloadd	baseline	latency_p99	109.607808	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/baseline/motivation_10tb_1kb_basecopy/workloadd
workloadd	baseline	disk_read	873920.43	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/baseline/motivation_10tb_1kb_basecopy/workloadd
workloadd	baseline	disk_write	35390.45	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/baseline/motivation_10tb_1kb_basecopy/workloadd
workloadd	vcomp	throughput	2555104	ops/sec	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/vcomp/motivation_10tb_1kb_w512/workloadd
workloadd	vcomp	latency_p50	3.351141	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/vcomp/motivation_10tb_1kb_w512/workloadd
workloadd	vcomp	latency_p95	99.363235	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/vcomp/motivation_10tb_1kb_w512/workloadd
workloadd	vcomp	latency_p99	109.229951	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/vcomp/motivation_10tb_1kb_w512/workloadd
workloadd	vcomp	disk_read	927851.62	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/vcomp/motivation_10tb_1kb_w512/workloadd
workloadd	vcomp	disk_write	40500.59	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/vcomp/motivation_10tb_1kb_w512/workloadd
workloade	baseline	throughput	107420	ops/sec	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/baseline/motivation_10tb_1kb_basecopy/workloade
workloade	baseline	disk_read	1701421.07	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/baseline/motivation_10tb_1kb_basecopy/workloade
workloade	baseline	disk_write	2358.11	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/baseline/motivation_10tb_1kb_basecopy/workloade
workloade	vcomp	throughput	140567	ops/sec	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/vcomp/motivation_10tb_1kb_w512/workloade
workloade	vcomp	disk_read	1751767.68	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/vcomp/motivation_10tb_1kb_w512/workloade
workloade	vcomp	disk_write	2827.71	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/vcomp/motivation_10tb_1kb_w512/workloade
workloadf	baseline	throughput	343059	ops/sec	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/baseline/motivation_10tb_1kb_basecopy/workloadf
workloadf	baseline	latency_p50	12.637018	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/baseline/motivation_10tb_1kb_basecopy/workloadf
workloadf	baseline	latency_p95	152.896263	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/baseline/motivation_10tb_1kb_basecopy/workloadf
workloadf	baseline	latency_p99	265.303996	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/baseline/motivation_10tb_1kb_basecopy/workloadf
