run,mode,ts,start_level,output_level,n_inputs_total,n_inputs_start,n_inputs_next,n_outputs,input_entries,reason
vcomp_run1,vcomp,2026/04/14-17:10:24.779185,1,2,5,,,4,232321,
vcomp_run1,vcomp,2026/04/14-17:10:24.779423,1,2,6,,,8,497714,
vcomp_run1,vcomp,2026/04/14-17:10:24.779679,1,2,9,,,9,583022,
vcomp_run1,vcomp,2026/04/14-17:10:24.784528,0,1,7,,,7,464784,
vcomp_run1,vcomp,2026/04/14-17:10:24.785072,1,2,4,,,4,248467,
vcomp_run1,vcomp,2026/04/14-17:10:24.785334,1,2,5,,,7,464962,
vcomp_run1,vcomp,2026/04/14-17:10:24.785621,1,2,9,,,9,581466,
vcomp_run1,vcomp,2026/04/14-17:10:24.786022,2,3,2,,,2,107083,
vcomp_run1,vcomp,2026/04/14-17:10:24.790572,0,1,8,,,7,503060,
vcomp_run1,vcomp,2026/04/14-17:10:24.790971,1,2,5,,,3,268128,
vcomp_run1,vcomp,2026/04/14-17:10:24.791361,1,2,6,,,5,339234,
vcomp_run1,vcomp,2026/04/14-17:10:24.791630,1,2,5,,,7,475686,
vcomp_run1,vcomp,2026/04/14-17:10:24.792067,2,3,2,,,3,142164,
vcomp_run1,vcomp,2026/04/14-17:10:24.796575,0,1,8,,,8,482622,
vcomp_run1,vcomp,2026/04/14-17:10:24.796878,1,2,2,,,1,42577,
vcomp_run1,vcomp,2026/04/14-17:10:24.797142,1,2,5,,,5,309305,
vcomp_run1,vcomp,2026/04/14-17:10:24.797385,1,2,8,,,8,515327,
vcomp_run1,vcomp,2026/04/14-17:10:24.797627,1,2,9,,,5,598466,
vcomp_run1,vcomp,2026/04/14-17:10:24.797913,1,2,7,,,8,478028,
vcomp_run1,vcomp,2026/04/14-17:10:24.802493,0,1,7,,,8,465227,
vcomp_run1,vcomp,2026/04/14-17:10:24.802808,1,2,2,,,1,114199,
vcomp_run1,vcomp,2026/04/14-17:10:24.803076,1,2,5,,,5,313275,
vcomp_run1,vcomp,2026/04/14-17:10:24.803088,1,2,4,,,4,204344,
vcomp_run1,vcomp,2026/04/14-17:10:24.803414,1,2,11,,,10,644892,
vcomp_run1,vcomp,2026/04/14-17:10:24.808503,0,1,8,,,7,504794,
vcomp_run1,vcomp,2026/04/14-17:10:24.809077,1,2,5,,,7,341515,
vcomp_run1,vcomp,2026/04/14-17:10:24.809368,1,2,5,,,5,320704,
vcomp_run1,vcomp,2026/04/14-17:10:24.809392,1,2,7,,,6,386454,
vcomp_run1,vcomp,2026/04/14-17:10:24.810094,1,2,8,,,9,671277,
vcomp_run1,vcomp,2026/04/14-17:10:24.814486,0,1,7,,,8,465644,
vcomp_run1,vcomp,2026/04/14-17:10:24.814856,1,2,2,,,2,167228,
vcomp_run1,vcomp,2026/04/14-17:10:24.815141,1,2,6,,,5,373596,
vcomp_run1,vcomp,2026/04/14-17:10:24.815372,1,2,7,,,4,445350,
vcomp_run1,vcomp,2026/04/14-17:10:24.815687,1,2,7,,,8,531595,
vcomp_run1,vcomp,2026/04/14-17:10:24.820703,0,1,8,,,8,466993,
vcomp_run1,vcomp,2026/04/14-17:10:24.821202,1,2,3,,,3,301673,
vcomp_run1,vcomp,2026/04/14-17:10:24.821471,1,2,5,,,3,306023,
vcomp_run1,vcomp,2026/04/14-17:10:24.821483,1,2,6,,,5,352662,
vcomp_run1,vcomp,2026/04/14-17:10:24.821750,1,2,7,,,7,555805,
vcomp_run1,vcomp,2026/04/14-17:10:24.826590,0,1,8,,,8,476305,
vcomp_run1,vcomp,2026/04/14-17:10:24.826978,1,2,4,,,3,196649,
vcomp_run1,vcomp,2026/04/14-17:10:24.827343,1,2,3,,,3,209813,
vcomp_run1,vcomp,2026/04/14-17:10:24.827358,1,2,5,,,5,307483,
vcomp_run1,vcomp,2026/04/14-17:10:24.827382,1,2,4,,,4,214297,
vcomp_run1,vcomp,2026/04/14-17:10:24.828107,1,2,10,,,9,747902,
