system	source_system	workload	protocol	status	operations	throughput_ops_sec	avg_latency_us	compaction_read_bytes	compaction_write_bytes	positive_lookups	total_lookup_requests	positive_lookups_pct	filter_checks_per_get	device_read_ios	device_write_ios	device_read_bytes	device_write_bytes	flush_write_bytes	measured_seconds	process_elapsed_sec	source_run	log_dir	note
baseline	baseline	A	ycsb_300s	ok	208699627	695604.0	69.001	842822952757	786608640000	90542546	104345755	86.77166215338612	8.977920146344237	50323502	1855037	1351620321280	885037101056	74062830043	300.026	304.6407718658447	ycsb_band_n01_260910	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n01_260910/full/workloada/baseline	
baseline	baseline	C	ycsb_300s	ok	478276874	1594123.0	30.109	0	0	288362994	478276874	60.29206296100363	3.6498245114816066	112679706	40	936223543296	1875968	0	300.025	304.37564873695374	ycsb_band_n01_260910	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n01_260910/full/workloadc/baseline	
flush_only	flush_only	A	ycsb_300s	timeout																903.6977305412292	ch3_ycsb_cache50_260911_run2	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ch3_ycsb_cache50_260911_run2/full/workloada/flush_only	Timed out; metric cells are missing, not zero.
flush_only	flush_only	C	ycsb_300s	ok	474381	1581.0	30357.697	68304945152	28221739008	286595	474381	60.41451913124683	10398.892765519699	30128887	52394	326400475136	30402510848	0	300.048	305.91586804389954	ch3_ycsb_cache50_260911_run2	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ch3_ycsb_cache50_260911_run2/full/workloadc/flush_only	
fillseq	fillseq_sparse	A	ycsb_300s	ok	225074191	750194.0	63.982	509259054657	471107039232	97804417	112533762	86.91117693195044	9.075370607444901	52599330	1246196	1013125226496	579625877504	79850717414	300.021	304.41164088249207	fillseq_sparse_260913_run2_full_measure	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run2_full_measure/full/workloada/fillseq_sparse	
fillseq	fillseq_sparse	C	ycsb_300s	ok	595902224	1986129.0	24.166	0	0	359291209	595902224	60.29365129538432	0.9999973217082674	133836762	36	1107750195200	1519616	0	300.032	304.28211975097656	fillseq_sparse_260913_run2_full_measure	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run2_full_measure/full/workloadc/fillseq_sparse	
