phase	system	workload	status	duration_sec	threads	measured_seconds	process_elapsed_sec	operations	throughput_ops_sec	avg_latency_us	successful_gets	engine_keys_read	engine_keys_written	peak_rss_kb	log_dir
pilot	baseline	workloadc	ok	3	48	3.023	4.3771631717681885	3539923	1170810.0	40.846	2133870	3539923	0	11419312	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_r02_260910/pilot/workloadc/baseline
pilot	baseline	workloada	ok	5	48	5.032	6.532173156738281	5374545	1068079.0	44.775	2168010	2686596	2687949	11591240	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_r02_260910/pilot/workloada/baseline
pilot	baseline	workloade	ok	5	48	5.039	7.133655071258545	418104	82971.0	575.699	0	0	20959	28324904	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_r02_260910/pilot/workloade/baseline
full	baseline	workloada	ok	300	48	300.023	304.4745283126831	211231939	704052.0	68.174	91664767	105611847	105620092	54077624	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_r02_260910/full/workloada/baseline
full	baseline	workloadb	ok	300	48	300.021	304.95471811294556	309451373	1031433.0	46.536	245481877	293979609	15471764	53801296	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_r02_260910/full/workloadb/baseline
full	baseline	workloadc	ok	300	48	300.022	304.579621553421	478767704	1595775.0	30.078	288658629	478767704	0	53176784	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_r02_260910/full/workloadc/baseline
full	baseline	workloadd	ok	300	48	300.029	304.84551215171814	797699700	2658741.0	18.053	697681122	757810635	39889065	53845900	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_r02_260910/full/workloadd/baseline
full	baseline	workloade	ok	300	48	300.025	304.64472341537476	32059713	106856.0	449.184	0	0	1604556	53378588	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_r02_260910/full/workloade/baseline
full	baseline	workloadf	ok	300	48	300.029	304.7986776828766	179934627	599723.0	80.032	155654016	179934627	89971675	53945220	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_r02_260910/full/workloadf/baseline
