phase	system	workload	status	duration_sec	threads	measured_seconds	process_elapsed_sec	operations	throughput_ops_sec	avg_latency_us	successful_gets	engine_keys_read	engine_keys_written	peak_rss_kb	log_dir
pilot	f2load	workloadc	ok	3	48	3.028	4.176929712295532	3408898	1125734.0	42.435	2280196	3408898	0	11221936	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_f2_260910/pilot/workloadc/f2load
pilot	f2load	workloada	ok	5	48	5.028	6.382508754730225	5451235	1084119.0	44.144	2199795	2725193	2726042	11672236	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_f2_260910/pilot/workloada/f2load
pilot	f2load	workloade	ok	5	48	5.026	6.883133888244629	417665	83105.0	576.024	0	0	20947	28283056	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_f2_260910/pilot/workloade/f2load
full	f2load	workloada	ok	300	48	300.033	305.5056335926056	207948115	693084.0	69.252	90192796	103969389	103978726	54110912	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_f2_260910/full/workloada/f2load
full	f2load	workloadb	ok	300	48	300.03	304.8089635372162	309466152	1031451.0	46.534	245470199	293993623	15472529	53768968	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_f2_260910/full/workloadb/f2load
full	f2load	workloadc	ok	300	48	300.027	304.12549352645874	450755758	1502383.0	31.948	301520219	450755758	0	53170296	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_f2_260910/full/workloadc/f2load
full	f2load	workloadd	ok	300	48	300.027	304.6327245235443	795072061	2650004.0	18.112	694970519	755314687	39757374	53809224	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_f2_260910/full/workloadd/f2load
full	f2load	workloade	ok	300	48	300.032	304.4499168395996	31812394	106029.0	452.674	0	0	1592183	53370884	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_f2_260910/full/workloade/f2load
full	f2load	workloadf	ok	300	48	300.033	304.54808235168457	178627059	595357.0	80.618	154469314	178627059	89317540	53988252	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_f2_260910/full/workloadf/f2load
