phase	system	workload	status	duration_sec	threads	measured_seconds	process_elapsed_sec	operations	throughput_ops_sec	avg_latency_us	successful_gets	engine_keys_read	engine_keys_written	peak_rss_kb	log_dir
pilot	f2load	workloadc	ok	3	48	3.021	4.229074478149414	3641914	1205530.0	39.694	2186807	3641914	0	11516564	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_e01_260913/pilot/workloadc/f2load
pilot	f2load	workloada	ok	5	48	5.021	6.332340955734253	5620206	1119429.0	42.813	2265270	2810026	2810180	11850596	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_e01_260913/pilot/workloada/f2load
pilot	f2load	workloade	ok	5	48	5.035	6.982299089431763	415961	82615.0	578.259	0	0	20866	28122464	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_e01_260913/pilot/workloade/f2load
full	f2load	workloada	ok	300	48	300.035	304.39367842674255	211893819	706230.0	67.961	91841399	105943039	105950780	54101620	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_e01_260913/full/workloada/f2load
full	f2load	workloadb	ok	300	48	300.023	304.7480676174164	314075874	1046838.0	45.851	248813764	298372950	15702924	53788376	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_e01_260913/full/workloadb/f2load
full	f2load	workloadc	ok	300	48	300.023	304.2528426647186	494820570	1649273.0	29.103	297144961	494820570	0	53161872	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_e01_260913/full/workloadc/f2load
full	f2load	workloadd	ok	300	48	300.024	304.6071243286133	804247471	2680608.0	17.906	703326668	764031001	40216470	53820168	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_e01_260913/full/workloadd/f2load
full	f2load	workloade	ok	300	48	300.027	304.46417903900146	31547666	105149.0	456.47	0	0	1578972	53368284	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_e01_260913/full/workloade/f2load
full	f2load	workloadf	ok	300	48	300.022	304.7048592567444	178950017	596456.0	80.472	154582981	178950017	89479308	53994660	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_e01_260913/full/workloadf/f2load
