phase	system	workload	status	duration_sec	threads	measured_seconds	process_elapsed_sec	operations	throughput_ops_sec	avg_latency_us	successful_gets	engine_keys_read	engine_keys_written	peak_rss_kb	log_dir
pilot	baseline	workloadc	ok	3	48	3.032	4.376923084259033	3548874	1170546.0	40.756	2139245	3548874	0	11425456	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n02_260910/pilot/workloadc/baseline
pilot	baseline	workloada	ok	5	48	5.021	6.5311877727508545	5376661	1070781.0	44.75	2168804	2687630	2689031	11600468	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n02_260910/pilot/workloada/baseline
pilot	baseline	workloade	ok	5	48	5.027	7.132832050323486	420149	83572.0	573.162	0	0	21062	28410672	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n02_260910/pilot/workloade/baseline
full	baseline	workloada	ok	300	48	300.031	304.6751534938812	211829248	706024.0	67.982	91929738	105910964	105918284	54068256	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n02_260910/full/workloada/baseline
full	baseline	workloadb	ok	300	48	300.021	304.91923570632935	308668054	1028822.0	46.654	244847516	293234915	15433139	53838184	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n02_260910/full/workloadb/baseline
full	baseline	workloadc	ok	300	48	300.032	304.37467527389526	486042790	1619969.0	29.628	293047840	486042790	0	53179724	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n02_260910/full/workloadc/baseline
full	baseline	workloadd	ok	300	48	300.029	304.88743329048157	805314184	2684119.0	17.882	704482144	765045243	40268941	53851660	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n02_260910/full/workloadd/baseline
full	baseline	workloade	ok	300	48	300.031	304.6403317451477	32120692	107057.0	448.326	0	0	1607671	53383328	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n02_260910/full/workloade/baseline
full	baseline	workloadf	ok	300	48	300.022	304.8391807079315	181121530	603694.0	79.508	156701395	181121530	90565183	53934488	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n02_260910/full/workloadf/baseline
