kv_size	mode	target_gib	repetitions	elapsed_sec	elapsed_hour	logical_input_bytes	flush_sst_write_bytes	compaction_sst_write_bytes	total_sst_write_bytes	waf	source	binary_sha256
1KB	Flush-only	1000	1	979.7261683940887	0.2721461578872469	1073741824000	1091449356114	0	1091449356114	1.0164914243984968	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_loads/paper_ch23_common_260905_approved_run3/full/flush_only_1kb	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b
1KB	Conventional	1000	1	3501.4172496795654	0.9726159026887682	1073741824000	1091460446077	12559770537984	13651230984061	12.713699586746284	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_loads/paper_ch23_common_260905_approved_run3/full/baseline_1kb	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b
91B	Flush-only	1000	1	8711.426300048828	2.419840638902452	1073741823973	1166903416229	0	1166903416229	1.086763493957317	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_loads/paper_ch23_common_260905_approved_run3/full/flush_only_91b	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b
91B	Conventional	1000	1	11426.155120372772	3.1739319778813257	1073741823973	1167204290510	15264991907840	16432196198350	15.303675270418822	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_loads/paper_ch23_common_260905_approved_run3/full/baseline_91b	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b
