Linux 5.4.0-216-generic (dskbi001) 	09/11/2026 	_x86_64_	(96 CPU)

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
nvme11n1       105.80  38498.40    36.20  25.49    0.24   363.88  123.40  43772.80    10.00   7.50    0.31   354.72    0.00      0.00     0.00   0.00    0.00     0.00    0.00  32.88
nvme12n1       103.40  37647.20    37.80  26.77    0.24   364.09  120.60  42470.40     7.60   5.93    0.32   352.16    0.00      0.00     0.00   0.00    0.00     0.00    0.00  32.32
nvme13n1       103.00  37791.20    37.80  26.85    0.24   366.90  120.40  41395.20     6.20   4.90    0.32   343.81    0.00      0.00     0.00   0.00    0.00     0.00    0.00  32.64
nvme14n1       105.80  38954.40    39.00  26.93    0.23   368.19  118.40  40881.60    29.80  20.11    0.31   345.28    0.00      0.00     0.00   0.00    0.00     0.00    0.00  33.28
nvme15n1       109.40  39740.00    38.60  26.08    0.24   363.25  127.40  40780.00     7.00   5.21    0.27   320.09    0.00      0.00     0.00   0.00    0.00     0.00    0.00  35.36
nvme16n1       106.40  39200.00    38.60  26.62    0.24   368.42  112.60  40615.20     7.20   6.01    0.33   360.70    0.00      0.00     0.00   0.00    0.00     0.00    0.00  31.92
nvme17n1       107.20  38608.80    36.00  25.14    0.23   360.16  134.20  41379.20     8.80   6.15    0.25   308.34    0.00      0.00     0.00   0.00    0.00     0.00    0.00  35.60
nvme18n1       104.60  38214.40    39.80  27.56    0.23   365.34  126.80  41120.80     7.80   5.79    0.29   324.30    0.00      0.00     0.00   0.00    0.00     0.00    0.00  34.64
nvme19n1       110.40  38832.80    37.40  25.30    0.23   351.75  118.20  41679.20    11.60   8.94    0.29   352.62    0.00      0.00     0.00   0.00    0.00     0.00    0.00  32.72
nvme1n1         99.00  35792.80    33.00  25.00    0.24   361.54  118.60  42922.40     6.60   5.27    0.32   361.91    0.00      0.00     0.00   0.00    0.00     0.00    0.00  32.08
nvme20n1       103.20  38071.20    38.80  27.32    0.23   368.91  120.60  43354.40     5.60   4.44    0.35   359.49    0.00      0.00     0.00   0.00    0.00     0.00    0.00  32.56
nvme21n1       114.20  39423.20    36.20  24.07    0.23   345.21  121.80  43888.00     6.00   4.69    0.32   360.33    0.00      0.00     0.00   0.00    0.00     0.00    0.00  33.52
nvme22n1       105.20  38888.00    38.20  26.64    0.24   369.66  136.20  43504.00    13.40   8.96    0.29   319.41    0.00      0.00     0.00   0.00    0.00     0.00    0.00  36.16
nvme23n1       109.20  39020.00    37.60  25.61    0.23   357.33  117.40  43039.20     5.60   4.55    0.30   366.60    0.00      0.00     0.00   0.00    0.00     0.00    0.00  34.08
nvme24n1       103.00  38327.20    38.80  27.36    0.23   372.11  136.20  43559.20    13.80   9.20    0.26   319.82    0.00      0.00     0.00   0.00    0.00     0.00    0.00  36.56
nvme25n1       106.80  37611.20    35.60  25.00    0.22   352.16  118.60  43376.00     4.60   3.73    0.30   365.73    0.00      0.00     0.00   0.00    0.00     0.00    0.00  32.72
nvme26n1       104.20  37046.40    38.00  26.72    0.24   355.53  124.20  42127.20     5.40   4.17    0.30   339.19    0.00      0.00     0.00   0.00    0.00     0.00    0.00  34.16
nvme27n1       106.20  37393.60    35.00  24.79    0.23   352.11  118.00  42804.00     4.40   3.59    0.29   362.75    0.00      0.00     0.00   0.00    0.00     0.00    0.00  32.40
nvme28n1       100.80  36309.60    35.60  26.10    0.23   360.21  115.40  41827.20     7.80   6.33    0.30   362.45    0.00      0.00     0.00   0.00    0.00     0.00    0.00  32.16
nvme29n1       101.00  35909.60    35.40  25.95    0.23   355.54  115.20  42644.80     8.20   6.65    0.32   370.18    0.00      0.00     0.00   0.00    0.00     0.00    0.00  33.52
nvme2n1        101.60  36064.00    34.40  25.29    0.24   354.96  116.20  43118.40     5.00   4.13    0.31   371.07    0.00      0.00     0.00   0.00    0.00     0.00    0.00  33.52
nvme30n1        97.80  36208.00    34.00  25.80    0.24   370.22  117.60  43239.20     4.40   3.61    0.34   367.68    0.00      0.00     0.00   0.00    0.00     0.00    0.00  33.60
nvme31n1       101.80  36131.20    33.60  24.82    0.23   354.92  119.00  43489.60     5.60   4.49    0.30   365.46    0.00      0.00     0.00   0.00    0.00     0.00    0.00  33.12
nvme3n1         94.00  34424.00    33.20  26.10    0.24   366.21  117.00  42441.60     8.40   6.70    0.29   362.75    0.00      0.00     0.00   0.00    0.00     0.00    0.00  32.40
nvme4n1         96.20  34380.00    33.00  25.54    0.24   357.38  115.60  42306.40     5.00   4.15    0.30   365.97    0.00      0.00     0.00   0.00    0.00     0.00    0.00  31.84
nvme5n1         97.40  34320.80    32.20  24.85    0.23   352.37  113.20  41072.00     4.40   3.74    0.29   362.83    0.00      0.00     0.00   0.00    0.00     0.00    0.00  31.52
nvme6n1         99.40  35254.40    33.80  25.38    0.23   354.67  113.60  41296.80     6.80   5.65    0.30   363.53    0.00      0.00     0.00   0.00    0.00     0.00    0.00  33.28
nvme7n1         98.40  35786.40    32.80  25.00    0.23   363.68  119.00  42768.00     7.60   6.00    0.30   359.39    0.00      0.00     0.00   0.00    0.00     0.00    0.00  31.76
nvme8n1        101.60  36793.60    37.20  26.80    0.23   362.14  121.00  44036.80     5.00   3.97    0.33   363.94    0.00      0.00     0.00   0.00    0.00     0.00    0.00  33.28
nvme9n1        102.00  37236.00    36.00  26.09    0.24   365.06  122.80  43333.60     6.20   4.81    0.31   352.88    0.00      0.00     0.00   0.00    0.00     0.00    0.00  33.20


Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
dm-0             0.00      0.00     0.00   0.00    0.00     0.00    2.20      8.80     0.00   0.00    0.00     4.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.08
loop0            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop1            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop2            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop3            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop4            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop5            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop6            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop7            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
md0           2755.00 875588.80     0.00   0.00    0.00   317.82 2924.40 1068331.20     0.00   0.00    0.00   365.32    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00    0.40      8.80     1.80  81.82    0.00    22.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.08
nvme10n1        71.00  26746.40    23.20  24.63    0.24   376.71   88.60  33172.00     3.40   3.70    0.29   374.40    0.00      0.00     0.00   0.00    0.00     0.00    0.00  28.00
nvme11n1        66.60  25827.20    25.20  27.45    0.23   387.80   87.80  32877.60     3.00   3.30    0.30   374.46    0.00      0.00     0.00   0.00    0.00     0.00    0.00  26.80
nvme12n1        70.80  26153.60    24.80  25.94    0.23   369.40   88.20  33116.80     3.40   3.71    0.28   375.47    0.00      0.00     0.00   0.00    0.00     0.00    0.00  27.60
nvme13n1        67.20  25368.80    24.80  26.96    0.24   377.51   88.20  33188.80     3.40   3.71    0.31   376.29    0.00      0.00     0.00   0.00    0.00     0.00    0.00  26.96
nvme14n1        69.00  25111.20    23.40  25.32    0.22   363.93   88.40  33143.20     3.00   3.28    0.29   374.92    0.00      0.00     0.00   0.00    0.00     0.00    0.00  27.76
nvme15n1        66.40  24740.00    23.40  26.06    0.23   372.59  100.40  33416.80     3.60   3.46    0.25   332.84    0.00      0.00     0.00   0.00    0.00     0.00    0.00  29.84
nvme16n1        67.60  25028.00    21.00  23.70    0.24   370.24   87.20  33123.20     3.20   3.54    0.29   379.85    0.00      0.00     0.00   0.00    0.00     0.00    0.00  26.72
nvme17n1        63.60  24480.00    22.00  25.70    0.24   384.91  102.80  33512.80     3.80   3.56    0.24   326.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00  27.36
nvme18n1        66.40  24584.80    21.20  24.20    0.23   370.25   99.60  33461.60     4.40   4.23    0.26   335.96    0.00      0.00     0.00   0.00    0.00     0.00    0.00  29.28
nvme19n1        63.20  24536.80    21.00  24.94    0.23   388.24   86.80  33136.80     2.80   3.12    0.29   381.76    0.00      0.00     0.00   0.00    0.00     0.00    0.00  25.60
nvme1n1         65.60  24821.60    22.60  25.62    0.23   378.38   85.40  32252.80     3.40   3.83    0.26   377.67    0.00      0.00     0.00   0.00    0.00     0.00    0.00  26.08
nvme20n1        67.80  25512.80    22.00  24.50    0.22   376.29   90.00  34116.00     2.80   3.02    0.31   379.07    0.00      0.00     0.00   0.00    0.00     0.00    0.00  27.12
nvme21n1        67.00  26298.40    24.40  26.70    0.24   392.51   91.60  34462.40     2.80   2.97    0.29   376.23    0.00      0.00     0.00   0.00    0.00     0.00    0.00  27.20
nvme22n1        67.80  25763.20    23.80  25.98    0.23   379.99  105.40  34176.00     3.20   2.95    0.25   324.25    0.00      0.00     0.00   0.00    0.00     0.00    0.00  31.52
nvme23n1        64.60  25301.60    22.40  25.75    0.24   391.67   90.20  34262.40     3.20   3.43    0.27   379.85    0.00      0.00     0.00   0.00    0.00     0.00    0.00  26.00
nvme24n1        65.60  25048.00    23.20  26.13    0.22   381.83  103.40  34564.80     3.00   2.82    0.24   334.28    0.00      0.00     0.00   0.00    0.00     0.00    0.00  30.00
nvme25n1        65.20  25511.20    22.00  25.23    0.24   391.28   91.60  34570.40     3.20   3.38    0.28   377.41    0.00      0.00     0.00   0.00    0.00     0.00    0.00  27.44
nvme26n1        64.80  25408.00    24.80  27.68    0.23   392.10   93.80  34131.20     3.40   3.50    0.27   363.87    0.00      0.00     0.00   0.00    0.00     0.00    0.00  28.56
nvme27n1        66.00  25654.40    20.60  23.79    0.24   388.70   90.00  34047.20     3.60   3.85    0.27   378.30    0.00      0.00     0.00   0.00    0.00     0.00    0.00  26.24
nvme28n1        68.00  25230.40    26.00  27.66    0.24   371.04   86.80  32577.60     4.00   4.41    0.27   375.32    0.00      0.00     0.00   0.00    0.00     0.00    0.00  27.28
nvme29n1        68.80  26448.80    19.60  22.17    0.24   384.43   89.00  33164.00     3.40   3.68    0.27   372.63    0.00      0.00     0.00   0.00    0.00     0.00    0.00  26.24
