campaign	cell	workload	distribution	mode	point	ops_per_sec	micros_per_op	filter_per_lookup	filter_probes	positive_lookup_pct	gets	found_keys	bloom_useful	bloom_full_positive	bloom_true_positive	filter_block_miss	filter_block_hit	p50_us	p99_us	p999_us	sst_read_count	compact_write_GB	run_seconds	drain_seconds	total_seconds_incl_drain	elapsed_sec	fixed_ops	copy_mode	dropped_caches	cache_GiB	num_keys	source_ssts	source_db	finished_at
eval_20260912_f2ycsb	E1-10KB_f2load__workloadf	workloadf		f2load	E1-10KB	80654	595.042	7.418	179570004	83.18	24208214	20136857	165775219	13794785	12208759	146263	179448270	93.12	625.99	1147.75	13183255	1147.69				309.0				50	1048576000	120566	/work/vcomp/exp/eval_20260909_night1/E1-10KB_f2load	2026-09-12T11:31:53.506064+00:00
eval_20260912_f2ycsb	E1-500B_f2load__workloada	workloada		f2load	E1-500B	991778	48.394	5.956	886225293	87.47	148784290	130140266	804625053	81600240	73758299	20011	886219273	72.47	378.86	808.89	59196230	555.01				304.1				50	1048576000	5979	/work/vcomp/exp/eval_20260909_night1/E1-500B_f2load	2026-09-12T10:04:00.126575+00:00
eval_20260912_f2ycsb	E1-500B_f2load__workloadb	workloadb		f2load	E1-500B	1144501	41.936	3.411	1112797086	83.72	326228116	273103529	945912616	166884470	157673777	8493	1112791061	55.47	114.18	399.39	75196293	81.26				304.4				50	1048576000	5979	/work/vcomp/exp/eval_20260909_night1/E1-500B_f2load	2026-09-12T10:09:04.862278+00:00
eval_20260912_f2ycsb	E1-500B_f2load__workloadc	workloadc		f2load	E1-500B	1714831	27.990	3.044	1566126304	62.12	514509332	319611944	1234934052	331192252	319611944	6028	1566120276	69.61	109.61	168.94	105612123	0.00				304.4				50	1048576000	5979	/work/vcomp/exp/eval_20260909_night1/E1-500B_f2load	2026-09-12T10:14:09.554444+00:00
eval_20260912_f2ycsb	E1-500B_f2load__workloadd	workloadd		f2load	E1-500B	3363921	14.268	0.832	798044826	92.49	958818883	886814707	410810794	387234032	383228733	6466	798038813	36.70	109.21	310.21	101882839	1.21				304.4				50	1048576000	5979	/work/vcomp/exp/eval_20260909_night1/E1-500B_f2load	2026-09-12T10:19:14.196478+00:00
eval_20260912_f2ycsb	E1-500B_f2load__workloade	workloade		f2load	E1-500B	192880	248.845						0	0	0	58	0	60.22	444.80	742.98	130451171	1.08				304.1				50	1048576000	5979	/work/vcomp/exp/eval_20260909_night1/E1-500B_f2load	2026-09-12T10:24:18.592552+00:00
eval_20260912_f2ycsb	E1-500B_f2load__workloadf	workloadf		f2load	E1-500B	703893	68.190	4.962	1047920077	86.83	211185930	183369820	934220826	113699251	104593993	17191	1047914044	70.77	299.00	701.29	78006236	429.91				304.5				50	1048576000	5979	/work/vcomp/exp/eval_20260909_night1/E1-500B_f2load	2026-09-12T10:29:23.368030+00:00
eval_20260912_f2ycsb	E1-5KB_f2load__workloada	workloada		f2load	E1-5KB	159186	301.521	7.091	169361194	84.24	23883850	20120099	155928200	13432994	11925854	84052	169301177	82.68	571.09	1055.83	12563109	1098.04				305.9				50	1048576000	60054	/work/vcomp/exp/eval_20260909_night1/E1-5KB_f2load	2026-09-12T10:34:32.164669+00:00
eval_20260912_f2ycsb	E1-5KB_f2load__workloadb	workloadb		f2load	E1-5KB	702416	68.329	5.595	1120273345	82.90	200217274	165971072	1003085600	117187745	107529766	73476	1120212762	73.92	404.50	844.85	67073866	578.74				306.6				50	1048576000	60054	/work/vcomp/exp/eval_20260909_night1/E1-5KB_f2load	2026-09-12T10:39:42.069831+00:00
eval_20260912_f2ycsb	E1-5KB_f2load__workloadc	workloadc		f2load	E1-5KB	1505707	31.878	2.811	1269800261	56.68	451744070	256068338	1005605100	264195161	256068338	60709	1269739552	71.81	152.01	563.06	112773496	0.00				305.8				50	1048576000	60054	/work/vcomp/exp/eval_20260909_night1/E1-5KB_f2load	2026-09-12T10:44:51.111697+00:00
eval_20260912_f2ycsb	E1-5KB_f2load__workloadd	workloadd		f2load	E1-5KB	1403102	34.208	1.020	407989663	90.88	399926441	363466697	231047838	176941825	174717805	64664	407926983	70.58	161.88	444.43	105999504	16.32				306.5				50	1048576000	60054	/work/vcomp/exp/eval_20260909_night1/E1-5KB_f2load	2026-09-12T10:50:00.813863+00:00
eval_20260912_f2ycsb	E1-5KB_f2load__workloade	workloade		f2load	E1-5KB	54401	882.262						0	0	0	179	0	99.54	715.00	715.00	100281515	4.30				306.1				50	1048576000	60054	/work/vcomp/exp/eval_20260909_night1/E1-5KB_f2load	2026-09-12T10:55:10.083633+00:00
eval_20260912_f2ycsb	E1-5KB_f2load__workloadf	workloadf		f2load	E1-5KB	151479	316.865	7.979	362624228	84.15	45447912	38245066	336392244	26231984	22981574	82624	362564036	81.17	544.58	863.07	23696229	1024.96				306.1				50	1048576000	60054	/work/vcomp/exp/eval_20260909_night1/E1-5KB_f2load	2026-09-12T11:00:19.297232+00:00
eval_20260912_f2ycsb	E7-lz4_f2load__workloada	workloada		f2load	E7-lz4	687399	69.823	9.003	928348136	86.82	103120327	89524329	867249756	61098380	52645344	22939	928341263	76.35	514.49	903.75	46928060	786.53				304.0				50	1048576000	6838	/work/vcomp/exp/eval_20260909_night1/E7-lz4_f2load	2026-09-12T11:36:58.652507+00:00
