campaign	cell	workload	distribution	mode	point	ops_per_sec	micros_per_op	filter_per_lookup	filter_probes	positive_lookup_pct	gets	found_keys	bloom_useful	bloom_full_positive	bloom_true_positive	filter_block_miss	filter_block_hit	p50_us	p99_us	p999_us	sst_read_count	compact_write_GB	run_seconds	drain_seconds	total_seconds_incl_drain	elapsed_sec	fixed_ops	copy_mode	dropped_caches	cache_GiB	num_keys	source_ssts	source_db	finished_at
eval_20260912_ycsb_af	E7-lz4_baseline__workloada	workloada		baseline	E7-lz4	691291	69.430	8.879	920737305	86.76	103702925	89972966	859427603	61309702	52934811	20509	920730481	73.90	487.23	847.16	47165849	799.79				304.2				50	1048576000	6811	/work/vcomp/exp/eval_20260909_night1/E7-lz4_baseline	2026-09-11T23:28:17.093318+00:00
eval_20260912_ycsb_af	E7-lz4_baseline__workloadb	workloadb		baseline	E7-lz4	1029137	46.638	3.911	1147337750	83.50	293343984	244940509	988771605	158566145	148946023	11345	1147330926	69.25	496.63	969.99	77682821	268.37				304.5				50	1048576000	6811	/work/vcomp/exp/eval_20260909_night1/E7-lz4_baseline	2026-09-11T23:33:21.963431+00:00
eval_20260912_ycsb_af	E7-lz4_baseline__workloadc	workloadc		baseline	E7-lz4	1691141	28.382	2.774	1407623419	60.29	507388617	305919349	1092873363	314750056	305919349	6828	1407616591	67.86	163.29	262.45	113114718	0.00				304.0				50	1048576000	6811	/work/vcomp/exp/eval_20260909_night1/E7-lz4_baseline	2026-09-11T23:38:26.334820+00:00
eval_20260912_ycsb_af	E7-lz4_baseline__workloadd	workloadd		baseline	E7-lz4	2662390	18.028	0.913	692965709	92.07	758863700	698668281	367811511	325154198	321565782	7494	692958884	40.42	125.42	403.07	111221115	0.61				304.3				50	1048576000	6811	/work/vcomp/exp/eval_20260909_night1/E7-lz4_baseline	2026-09-11T23:43:30.937367+00:00
eval_20260912_ycsb_af	E7-lz4_baseline__workloade	workloade		baseline	E7-lz4	115679	414.908						0	0	0	29	0	52.92	351.40	816.00	114709736	0.00				304.5				50	1048576000	6811	/work/vcomp/exp/eval_20260909_night1/E7-lz4_baseline	2026-09-11T23:48:35.764068+00:00
eval_20260912_ycsb_af	E7-lz4_baseline__workloadf	workloadf		baseline	E7-lz4	567741	84.539	7.479	1273961294	86.41	170344462	147191724	1174719675	99241619	87799382	19699	1273954463	74.60	574.73	1103.95	72966902	744.01				304.4				50	1048576000	6811	/work/vcomp/exp/eval_20260909_night1/E7-lz4_baseline	2026-09-11T23:53:40.416722+00:00
eval_20260912_ycsb_af	P0-r1_baseline__workloada	workloada		baseline	P0-r1	691689	69.392	8.969	930592562	86.76	103758885	90022620	869334385	61258177	52788975	26883	930578994	74.37	503.85	834.77	47305150	774.75				304.0				50	1048576000	13539	/work/vcomp/exp/eval_20260909_night1/P0-r1_baseline	2026-09-12T06:23:41.402965+00:00
eval_20260912_ycsb_af	P0-r1_baseline__workloadb	workloadb		baseline	P0-r1	1002901	47.859	4.257	1216750949	83.46	285856767	238569398	1060628151	156122798	145801563	16327	1216737365	65.32	166.62	590.20	76413167	152.79				304.7				50	1048576000	13539	/work/vcomp/exp/eval_20260909_night1/P0-r1_baseline	2026-09-12T06:28:46.799796+00:00
eval_20260912_ycsb_af	P0-r1_baseline__workloadc	workloadc		baseline	P0-r1	1474872	32.544	3.427	1516345249	60.29	442495163	266787798	1239520913	276824336	266787798	13586	1516331663	73.13	166.56	241.33	99967066	0.00				304.6				50	1048576000	13539	/work/vcomp/exp/eval_20260909_night1/P0-r1_baseline	2026-09-12T06:33:52.047933+00:00
eval_20260912_ycsb_af	P0-r1_baseline__workloadd	workloadd		baseline	P0-r1	2511581	19.111	1.050	751390231	91.96	715843552	658319109	444914828	306475403	302141413	14304	751376552	34.80	109.04	167.86	106595525	0.12				304.6				50	1048576000	13539	/work/vcomp/exp/eval_20260909_night1/P0-r1_baseline	2026-09-12T06:38:57.221695+00:00
eval_20260912_ycsb_af	P0-r1_baseline__workloade	workloade		baseline	P0-r1	90887	528.101						0	0	0	21	0	76.52	555.20	592.00	117349796	0.00				304.6				50	1048576000	13539	/work/vcomp/exp/eval_20260909_night1/P0-r1_baseline	2026-09-12T06:44:02.438175+00:00
eval_20260912_ycsb_af	P0-r1_baseline__workloadf	workloadf		baseline	P0-r1	567233	84.615	7.659	1303452148	86.41	170191175	147056589	1204171761	99280387	87554018	25433	1303438568	72.95	525.77	857.92	73003366	678.56				304.5				50	1048576000	13539	/work/vcomp/exp/eval_20260909_night1/P0-r1_baseline	2026-09-12T06:49:07.544229+00:00
eval_20260913_e1_baseline_ycsb	E1-100B_baseline__workloada	workloada		baseline	E1-100B	1277184	37.579	3.822	732401647	87.92	191607846	168452916	640087742	92313905	86064263	3662	732400091	64.80	158.25	509.37	42173803	115.16				304.1				50	1048576000	1380	/work/vcomp/exp/eval_20260909_night1/E1-100B_baseline	2026-09-12T17:13:09.368361+00:00
eval_20260913_e1_baseline_ycsb	E1-100B_baseline__workloadb	workloadb		baseline	E1-100B	1399027	34.308	2.416	963490536	84.00	398768077	334979252	784884397	178606139	170950539	1780	963488971	30.52	84.17	117.97	42159274	11.45				304.5				50	1048576000	1380	/work/vcomp/exp/eval_20260909_night1/E1-100B_baseline	2026-09-12T17:18:13.947277+00:00
eval_20260913_e1_baseline_ycsb	E1-100B_baseline__workloadc	workloadc		baseline	E1-100B	2682192	17.895	2.113	1700123394	60.29	804741453	485198248	1204039415	496083979	485198248	1591	1700121803	72.96	166.83	479.61	72524237	0.00				304.3				50	1048576000	1380	/work/vcomp/exp/eval_20260909_night1/E1-100B_baseline	2026-09-12T17:23:18.327294+00:00
eval_20260913_e1_baseline_ycsb	E1-100B_baseline__workloadd	workloadd		baseline	E1-100B	5615826	8.547	0.609	974245980	93.39	1600729958	1494997119	418264151	555981829	551899927	1690	974244453	33.83	108.70	169.36	51072026	0.00				304.3				50	1048576000	1380	/work/vcomp/exp/eval_20260909_night1/E1-100B_baseline	2026-09-12T17:28:22.710376+00:00
eval_20260913_e1_baseline_ycsb	E1-100B_baseline__workloade	workloade		baseline	E1-100B	498192	96.343						0	0	0	14	0	73.24	167.43	499.03	83604484	0.00				304.2				50	1048576000	1380	/work/vcomp/exp/eval_20260909_night1/E1-100B_baseline	2026-09-12T17:33:26.983038+00:00
eval_20260913_e1_baseline_ycsb	E1-100B_baseline__workloadf	workloadf		baseline	E1-100B	925566	51.857	3.790	1052469021	87.30	277698047	242438419	919299041	133169980	124202015	3040	1052467477	58.27	169.99	549.69	49246066	81.38				304.4				50	1048576000	1380	/work/vcomp/exp/eval_20260909_night1/E1-100B_baseline	2026-09-12T17:38:31.445952+00:00
eval_20260913_e1_baseline_ycsb	E1-10KB_baseline__workloada	workloada		baseline	E1-10KB	71702	669.429	7.586	81625489	82.91	10760141	8921769	75617326	6008163	5285478	152870	81495196	96.00	834.90	1542.04	6436359	1332.32				316.2				50	1048576000	130732	/work/vcomp/exp/eval_20260909_night1/E1-10KB_baseline	2026-09-12T18:45:38.576062+00:00
eval_20260913_e1_baseline_ycsb	E1-10KB_baseline__workloadb	workloadb		baseline	E1-10KB	402964	119.115	7.155	821750411	81.99	114849053	94161941	755104680	66645731	59439828	154120	821610738	90.05	555.92	1109.26	41875345	850.71				317.4				50	1048576000	130732	/work/vcomp/exp/eval_20260909_night1/E1-10KB_baseline	2026-09-12T18:51:03.713015+00:00
eval_20260913_e1_baseline_ycsb	E1-10KB_baseline__workloadc	workloadc		baseline	E1-10KB	1031044	46.554	5.106	1579527713	60.29	309331425	186499436	1381216205	198311508	186499436	146060	1579381653	97.26	169.83	510.69	87086523	0.00				315.2				50	1048576000	130732	/work/vcomp/exp/eval_20260909_night1/E1-10KB_baseline	2026-09-12T18:56:26.596933+00:00
eval_20260913_e1_baseline_ycsb	E1-10KB_baseline__workloadd	workloadd		baseline	E1-10KB	703714	68.199	1.683	337686418	89.70	200680474	180001939	251201789	86484629	84086356	178315	337510328	87.66	230.65	723.56	60435758	47.69				316.9				50	1048576000	130732	/work/vcomp/exp/eval_20260909_night1/E1-10KB_baseline	2026-09-12T19:01:51.166329+00:00
eval_20260913_e1_baseline_ycsb	E1-10KB_baseline__workloade	workloade		baseline	E1-10KB	25391	1890.097						0	0	0	65	0	125.00	315.00	315.00	84781047	0.00				315.6				50	1048576000	130732	/work/vcomp/exp/eval_20260909_night1/E1-10KB_baseline	2026-09-12T19:07:14.489881+00:00
eval_20260913_e1_baseline_ycsb	E1-10KB_baseline__workloadf	workloadf		baseline	E1-10KB	67694	708.975	7.221	146681447	82.82	20314391	16823863	135391977	11289470	9994634	153029	146549517	94.23	821.98	1589.47	11089812	1245.00				318.2				50	1048576000	130732	/work/vcomp/exp/eval_20260909_night1/E1-10KB_baseline	2026-09-12T19:12:40.568751+00:00
eval_20260913_e1_baseline_ycsb	E1-500B_baseline__workloada	workloada		baseline	E1-500B	1015953	47.244	5.927	903360512	87.48	152404780	133320861	819761049	83599463	75607245	16166	903354515	73.11	370.28	746.54	60593337	565.69				304.3				50	1048576000	5965	/work/vcomp/exp/eval_20260909_night1/E1-500B_baseline	2026-09-12T17:43:36.018317+00:00
eval_20260913_e1_baseline_ycsb	E1-500B_baseline__workloadb	workloadb		baseline	E1-500B	1157531	41.465	3.370	1111742379	83.69	329936340	276130812	941898189	169844190	160669614	7507	1111736377	57.61	113.97	415.35	76104050	82.98				304.7				50	1048576000	5965	/work/vcomp/exp/eval_20260909_night1/E1-500B_baseline	2026-09-12T17:48:41.005945+00:00
eval_20260913_e1_baseline_ycsb	E1-500B_baseline__workloadc	workloadc		baseline	E1-500B	1645776	29.164	3.044	1503161527	60.29	493794391	297720889	1195411252	307750275	297720889	5998	1503155529	72.76	165.56	206.38	100979022	0.00				304.5				50	1048576000	5965	/work/vcomp/exp/eval_20260909_night1/E1-500B_baseline	2026-09-12T17:53:45.767053+00:00
eval_20260913_e1_baseline_ycsb	E1-500B_baseline__workloadd	workloadd		baseline	E1-500B	3233940	14.842	0.878	809529669	92.42	921762295	851858472	436772918	372756751	368500370	6420	809523648	33.30	108.81	229.09	97776322	0.00				304.6				50	1048576000	5965	/work/vcomp/exp/eval_20260909_night1/E1-500B_baseline	2026-09-12T17:58:50.626653+00:00
eval_20260913_e1_baseline_ycsb	E1-500B_baseline__workloade	workloade		baseline	E1-500B	173463	276.708						0	0	0	21	0	64.97	196.80	972.00	116183504	0.00				304.3				50	1048576000	5965	/work/vcomp/exp/eval_20260909_night1/E1-500B_baseline	2026-09-12T18:03:55.197513+00:00
eval_20260913_e1_baseline_ycsb	E1-500B_baseline__workloadf	workloadf		baseline	E1-500B	724896	66.212	4.933	1072886447	86.85	217494366	188894030	955646889	117239558	107923276	13878	1072880444	71.01	333.03	722.77	80394080	443.14				304.4				50	1048576000	5965	/work/vcomp/exp/eval_20260909_night1/E1-500B_baseline	2026-09-12T18:08:59.838471+00:00
eval_20260913_e1_baseline_ycsb	E1-5KB_baseline__workloada	workloada		baseline	E1-5KB	160216	299.582	7.152	171932439	84.22	24038577	20245466	158444989	13487450	11953414	81948	171872826	85.14	725.04	1290.96	12682788	1295.42				308.7				50	1048576000	59642	/work/vcomp/exp/eval_20260909_night1/E1-5KB_baseline	2026-09-12T18:14:11.528077+00:00
eval_20260913_e1_baseline_ycsb	E1-5KB_baseline__workloadb	workloadb		baseline	E1-5KB	674672	71.145	5.586	1074172252	82.81	192290196	159241081	962222387	111949865	102657620	71619	1074112317	75.22	485.00	863.15	64604092	681.63				309.5				50	1048576000	59642	/work/vcomp/exp/eval_20260909_night1/E1-5KB_baseline	2026-09-12T18:19:24.470911+00:00
eval_20260913_e1_baseline_ycsb	E1-5KB_baseline__workloadc	workloadc		baseline	E1-5KB	1285577	37.337	4.052	1562869775	60.29	385695519	232543083	1318532155	244337620	232543083	60054	1562809721	77.73	169.83	644.77	98145003	0.00				308.8				50	1048576000	59642	/work/vcomp/exp/eval_20260909_night1/E1-5KB_baseline	2026-09-12T18:24:36.620984+00:00
eval_20260913_e1_baseline_ycsb	E1-5KB_baseline__workloadd	workloadd		baseline	E1-5KB	1293946	37.094	1.240	457318243	90.78	368805416	334802680	293946919	163371324	160528487	63481	457256377	70.11	156.36	522.72	97177731	3.16				309.5				50	1048576000	59642	/work/vcomp/exp/eval_20260909_night1/E1-5KB_baseline	2026-09-12T18:29:49.398421+00:00
eval_20260913_e1_baseline_ycsb	E1-5KB_baseline__workloade	workloade		baseline	E1-5KB	41569	1154.629						0	0	0	49	0	86.20	560.00	578.00	91828297	0.00				308.9				50	1048576000	59642	/work/vcomp/exp/eval_20260909_night1/E1-5KB_baseline	2026-09-12T18:35:01.612373+00:00
eval_20260913_e1_baseline_ycsb	E1-5KB_baseline__workloadf	workloadf		baseline	E1-5KB	153183	313.319	8.181	376033494	84.15	45966096	38681406	349482662	26550832	23166224	80959	375973776	80.93	545.03	998.14	24022731	1224.78				309.9				50	1048576000	59642	/work/vcomp/exp/eval_20260909_night1/E1-5KB_baseline	2026-09-12T18:40:14.804042+00:00
eval_20260913_e3_ycsb	E3-u100_baseline__workloada	workloada		baseline	E3-u100	666205	72.047	8.720	871478672	100.00	99935312	99935312	799444813	72033859	64242156	32676	871459716	73.59	445.63	767.81	58141486	787.84				304.7				50	1048576000	18883	/work/vcomp/exp/eval_20260909_night1/E3-u100_baseline	2026-09-12T21:47:47.557218+00:00
eval_20260913_e3_ycsb	E3-u100_baseline__workloadb	workloadb		baseline	E3-u100	870600	55.131	4.004	993564522	100.00	248151971	248151971	818427757	175136765	167169273	21453	993545571	64.99	145.98	478.58	102462666	139.17				304.9				50	1048576000	18883	/work/vcomp/exp/eval_20260909_night1/E3-u100_baseline	2026-09-12T21:52:53.348483+00:00
eval_20260913_e3_ycsb	E3-u100_baseline__workloadc	workloadc		baseline	E3-u100	987299	48.615	3.639	1077836014	100.00	296221458	296221458	774917295	302918719	296221458	18950	1077817064	72.59	165.59	235.88	113288627	0.00				304.7				50	1048576000	18883	/work/vcomp/exp/eval_20260909_night1/E3-u100_baseline	2026-09-12T21:57:58.906950+00:00
eval_20260913_e3_ycsb	E3-u100_baseline__workloadd	workloadd		baseline	E3-u100	1806927	26.563	1.106	569400667	100.00	515029228	515029228	303424427	265976240	263026165	19509	569381641	33.34	109.09	169.04	120070911	0.00				304.8				50	1048576000	18883	/work/vcomp/exp/eval_20260909_night1/E3-u100_baseline	2026-09-12T22:03:04.518037+00:00
eval_20260913_e3_ycsb	E3-u100_baseline__workloade	workloade		baseline	E3-u100	99739	481.232						0	0	0	25	0	75.60	164.76	813.16	118397415	0.00				304.8				50	1048576000	18883	/work/vcomp/exp/eval_20260909_night1/E3-u100_baseline	2026-09-12T22:08:10.085970+00:00
eval_20260913_e3_ycsb	E3-u100_baseline__workloadf	workloadf		baseline	E3-u100	521937	91.962	6.419	1005208723	100.00	156594407	156594407	894380626	110828097	102119980	31467	1005189746	73.24	463.22	832.86	88764056	711.80				304.9				50	1048576000	18883	/work/vcomp/exp/eval_20260909_night1/E3-u100_baseline	2026-09-12T22:13:15.791412+00:00
eval_20260913_e3_ycsb	E3-u100_f2load__workloada	workloada		f2load	E3-u100	655575	73.213	8.621	847884540	93.68	98346383	92131928	783448620	64435920	56807361	38355	847866751	73.72	396.19	745.22	51317655	757.87				304.5				50	1048576000	17707	/work/vcomp/exp/eval_20260909_night1/E3-u100_f2load	2026-09-12T22:18:21.204730+00:00
eval_20260913_e3_ycsb	E3-u100_f2load__workloadb	workloadb		f2load	E3-u100	962301	49.877	4.048	1110421655	92.12	274292174	252689118	938429449	171992206	162869018	22640	1110403854	65.84	157.23	536.06	94233347	150.13				304.9				50	1048576000	17707	/work/vcomp/exp/eval_20260909_night1/E3-u100_f2load	2026-09-12T22:23:27.033836+00:00
eval_20260913_e3_ycsb	E3-u100_f2load__workloadc	workloadc		f2load	E3-u100	1234201	38.889	3.415	1264762861	84.65	370305738	313461522	935088057	329674804	313461522	17744	1264745117	69.02	109.74	167.67	114118197	0.00				304.6				50	1048576000	17707	/work/vcomp/exp/eval_20260909_night1/E3-u100_f2load	2026-09-12T22:28:32.548970+00:00
eval_20260913_e3_ycsb	E3-u100_f2load__workloadd	workloadd		f2load	E3-u100	2277588	21.074	0.995	646191428	95.42	649190822	619425802	345710472	300480956	297109915	18432	646173624	51.88	109.64	262.24	122648571	2.20				304.7				50	1048576000	17707	/work/vcomp/exp/eval_20260909_night1/E3-u100_f2load	2026-09-12T22:33:38.102615+00:00
eval_20260913_e3_ycsb	E3-u100_f2load__workloade	workloade		f2load	E3-u100	104934	457.413						0	0	0	86	0	71.49	153.20	816.64	133058114	2.08				304.8				50	1048576000	17707	/work/vcomp/exp/eval_20260909_night1/E3-u100_f2load	2026-09-12T22:38:43.717279+00:00
eval_20260913_e3_ycsb	E3-u100_f2load__workloadf	workloadf		f2load	E3-u100	542700	88.443	6.647	1082358397	93.52	162825817	152269662	977704276	104654121	95134159	37776	1082340537	72.70	441.32	811.33	81806214	705.09				304.8				50	1048576000	17707	/work/vcomp/exp/eval_20260909_night1/E3-u100_f2load	2026-09-12T22:43:49.358851+00:00
eval_20260913_e3_ycsb	E3-u50_baseline__workloada	workloada		baseline	E3-u50	698603	68.703	8.972	940237625	82.04	104800513	85975114	883147271	57090354	48489423	22871	940227403	73.40	442.76	806.94	43177006	730.25				304.5				50	1048576000	10207	/work/vcomp/exp/eval_20260909_night1/E3-u50_baseline	2026-09-12T19:45:40.456895+00:00
eval_20260913_e3_ycsb	E3-u50_baseline__workloadb	workloadb		baseline	E3-u50	1042298	46.049	4.152	1233432895	77.61	297090234	230576883	1089564781	143868114	133267115	12924	1233422665	65.73	161.72	554.44	64184049	149.36				304.9				50	1048576000	10207	/work/vcomp/exp/eval_20260909_night1/E3-u50_baseline	2026-09-12T19:50:45.967313+00:00
eval_20260913_e3_ycsb	E3-u50_baseline__workloadc	workloadc		baseline	E3-u50	1753623	27.371	3.624	1906732290	50.44	526138222	265409823	1620409648	286322642	265409823	10226	1906722064	73.47	166.11	242.36	90291705	0.00				304.8				50	1048576000	10207	/work/vcomp/exp/eval_20260909_night1/E3-u50_baseline	2026-09-12T19:55:51.255199+00:00
eval_20260913_e3_ycsb	E3-u50_baseline__workloadd	workloadd		baseline	E3-u50	2978302	16.115	1.030	874347292	89.49	848939416	759726914	530592478	343754814	338574660	11031	874337053	41.34	108.97	164.01	100145783	0.23				304.8				50	1048576000	10207	/work/vcomp/exp/eval_20260909_night1/E3-u50_baseline	2026-09-12T20:00:56.559747+00:00
eval_20260913_e3_ycsb	E3-u50_baseline__workloade	workloade		baseline	E3-u50	92966	516.296						0	0	0	23	0	64.41	480.50	483.00	117182047	0.00				304.8				50	1048576000	10207	/work/vcomp/exp/eval_20260909_night1/E3-u50_baseline	2026-09-12T20:06:01.852257+00:00
eval_20260913_e3_ycsb	E3-u50_baseline__workloadf	workloadf		baseline	E3-u50	600710	79.899	7.653	1379344240	81.67	180239696	147194342	1282614865	96729375	84233489	22065	1379334014	73.59	426.06	747.78	69148345	677.81				304.4				50	1048576000	10207	/work/vcomp/exp/eval_20260909_night1/E3-u50_baseline	2026-09-12T20:11:06.763058+00:00
eval_20260913_e3_ycsb	E3-u50_f2load__workloada	workloada		f2load	E3-u50	676098	70.991	9.038	916628575	82.50	101421091	83676587	860881294	55747281	47359987	28793	916618360	73.34	393.97	760.85	42172938	709.86				304.1				50	1048576000	10176	/work/vcomp/exp/eval_20260909_night1/E3-u50_f2load	2026-09-12T20:16:11.409048+00:00
eval_20260913_e3_ycsb	E3-u50_f2load__workloadb	workloadb		f2load	E3-u50	1051401	45.650	4.172	1250340196	78.30	299691990	234656195	1103140026	147200170	136465552	15277	1250329982	64.94	159.40	575.96	66237713	158.52				304.4				50	1048576000	10176	/work/vcomp/exp/eval_20260909_night1/E3-u50_f2load	2026-09-12T20:21:16.446987+00:00
eval_20260913_e3_ycsb	E3-u50_f2load__workloadc	workloadc		f2load	E3-u50	1580610	30.366	4.128	1957807494	53.37	474245434	253108299	1690975570	266831924	253108299	10188	1957797306	69.44	109.40	160.05	84170547	0.00				304.5				50	1048576000	10176	/work/vcomp/exp/eval_20260909_night1/E3-u50_f2load	2026-09-12T20:26:21.430532+00:00
eval_20260913_e3_ycsb	E3-u50_f2load__workloadd	workloadd		f2load	E3-u50	3006039	15.967	1.019	873031176	89.65	856843091	768168833	525789753	347241423	342111549	11047	873020967	36.24	109.25	322.75	102720353	2.27				304.6				50	1048576000	10176	/work/vcomp/exp/eval_20260909_night1/E3-u50_f2load	2026-09-12T20:31:26.479400+00:00
eval_20260913_e3_ycsb	E3-u50_f2load__workloade	workloade		f2load	E3-u50	107491	446.520						0	0	0	29	0	69.16	558.00	827.00	133821503	0.09				304.5				50	1048576000	10176	/work/vcomp/exp/eval_20260909_night1/E3-u50_f2load	2026-09-12T20:36:31.483269+00:00
eval_20260913_e3_ycsb	E3-u50_f2load__workloadf	workloadf		f2load	E3-u50	590520	81.280	7.848	1390556844	82.17	177176257	145590872	1294357235	96199609	83600174	28258	1390546607	72.98	440.26	809.77	68717851	665.33				304.4				50	1048576000	10176	/work/vcomp/exp/eval_20260909_night1/E3-u50_f2load	2026-09-12T20:41:36.332070+00:00
eval_20260913_e3_ycsb	E3-u75_baseline__workloada	workloada		baseline	E3-u75	686030	69.965	8.860	911796875	91.00	102907414	93643656	846807336	64989539	56740334	28464	911782088	73.56	426.75	759.97	51045015	793.77				304.7				50	1048576000	14732	/work/vcomp/exp/eval_20260909_night1/E3-u75_baseline	2026-09-12T20:46:41.826146+00:00
eval_20260913_e3_ycsb	E3-u75_baseline__workloadb	workloadb		baseline	E3-u75	982191	48.867	4.037	1130106036	88.74	279960806	248439645	964006478	166099558	156720015	17500	1130091259	65.06	158.69	615.34	87495857	153.28				305.1				50	1048576000	14732	/work/vcomp/exp/eval_20260909_night1/E3-u75_baseline	2026-09-12T20:51:47.689443+00:00
eval_20260913_e3_ycsb	E3-u75_baseline__workloadc	workloadc		baseline	E3-u75	1272459	37.719	3.483	1329678982	75.25	381789733	287295669	1030993539	298685443	287295669	14765	1329664217	74.57	166.25	220.78	104913126	0.00				304.9				50	1048576000	14732	/work/vcomp/exp/eval_20260909_night1/E3-u75_baseline	2026-09-12T20:56:53.292510+00:00
eval_20260913_e3_ycsb	E3-u75_baseline__workloadd	workloadd		baseline	E3-u75	2245569	21.374	1.081	691994622	94.40	640064628	604234029	400114909	291879713	287981356	15425	691979786	33.81	109.34	240.13	111636141	0.24				304.9				50	1048576000	14732	/work/vcomp/exp/eval_20260909_night1/E3-u75_baseline	2026-09-12T21:01:58.898957+00:00
eval_20260913_e3_ycsb	E3-u75_baseline__workloade	workloade		baseline	E3-u75	96468	497.540						0	0	0	24	0	73.55	320.20	812.00	118549595	0.00				304.9				50	1048576000	14732	/work/vcomp/exp/eval_20260909_night1/E3-u75_baseline	2026-09-12T21:07:04.527878+00:00
eval_20260913_e3_ycsb	E3-u75_baseline__workloadf	workloadf		baseline	E3-u75	558910	85.877	6.926	1161381550	90.75	167690179	152172830	1057541592	103839958	93533064	27364	1161366750	73.33	433.61	795.78	79487175	720.38				305.0				50	1048576000	14732	/work/vcomp/exp/eval_20260909_night1/E3-u75_baseline	2026-09-12T21:12:10.236371+00:00
eval_20260913_e3_ycsb	E3-u75_f2load__workloada	workloada		f2load	E3-u75	687655	69.796	8.773	905023030	88.37	103158915	91166430	842687063	62335967	54126897	35042	905008984	74.34	439.12	817.52	48646207	774.87				304.2				50	1048576000	14001	/work/vcomp/exp/eval_20260909_night1/E3-u75_f2load	2026-09-12T21:17:15.149170+00:00
eval_20260913_e3_ycsb	E3-u75_f2load__workloadb	workloadb		f2load	E3-u75	1014981	47.289	4.120	1191969281	85.50	289308061	247366446	1029329633	162639648	152627792	18768	1191955237	65.68	156.98	558.22	82132151	154.51				304.8				50	1048576000	14001	/work/vcomp/exp/eval_20260909_night1/E3-u75_f2load	2026-09-12T21:22:20.704298+00:00
eval_20260913_e3_ycsb	E3-u75_f2load__workloadc	workloadc		f2load	E3-u75	1453482	33.023	3.470	1513068518	68.96	436084883	300713295	1201327359	311741159	300713295	14023	1513054495	69.28	109.64	165.55	106443440	0.00				304.6				50	1048576000	14001	/work/vcomp/exp/eval_20260909_night1/E3-u75_f2load	2026-09-12T21:27:26.047125+00:00
eval_20260913_e3_ycsb	E3-u75_f2load__workloadd	workloadd		f2load	E3-u75	2573819	18.648	1.035	759455774	92.69	733635908	680040189	440068214	319387560	315098442	14709	759441707	34.00	108.99	201.61	115398176	0.19				304.6				50	1048576000	14001	/work/vcomp/exp/eval_20260909_night1/E3-u75_f2load	2026-09-12T21:32:31.340690+00:00
eval_20260913_e3_ycsb	E3-u75_f2load__workloade	workloade		f2load	E3-u75	106242	451.780						0	0	0	25	0	67.16	730.07	818.00	132456956	0.00				304.6				50	1048576000	14001	/work/vcomp/exp/eval_20260909_night1/E3-u75_f2load	2026-09-12T21:37:36.617313+00:00
eval_20260913_e3_ycsb	E3-u75_f2load__workloadf	workloadf		f2load	E3-u75	560422	85.645	7.458	1254062973	88.05	168145950	148052002	1153624191	100438782	89206327	32680	1254048880	72.83	413.35	810.57	74951669	675.42				304.7				50	1048576000	14001	/work/vcomp/exp/eval_20260909_night1/E3-u75_f2load	2026-09-12T21:42:42.008364+00:00
eval_20260913_e4_ycsb	E4-1024m10_baseline__workloada	workloada		baseline	E4-1024m10	668838	71.765	8.894	892392098	86.70	100335560	86991656	833367546	59024552	50906950	23928	892383682	72.46	420.09	785.76	45578515	895.73				308.5				50	1048576000	13021	/work/vcomp/exp/eval_20260909_night1/E4-1024m10_baseline	2026-09-13T01:52:13.453621+00:00
eval_20260913_e4_ycsb	E4-1024m10_baseline__workloadb	workloadb		baseline	E4-1024m10	1003283	47.840	3.843	1099146465	83.46	285999760	238690806	944957500	154188965	144992899	15998	1099137404	67.23	127.27	311.70	75831011	404.19				303.6				50	1048576000	13021	/work/vcomp/exp/eval_20260909_night1/E4-1024m10_baseline	2026-09-13T01:57:17.800277+00:00
eval_20260913_e4_ycsb	E4-1024m10_baseline__workloadc	workloadc		baseline	E4-1024m10	1501543	31.964	2.520	1135562649	60.29	450592268	271670293	853782933	281779716	271670293	17658	1135549643	102.87	892.87	1748.61	100068735	283.23				304.8				50	1048576000	13021	/work/vcomp/exp/eval_20260909_night1/E4-1024m10_baseline	2026-09-13T02:02:23.308551+00:00
eval_20260913_e4_ycsb	E4-1024m10_baseline__workloadd	workloadd		baseline	E4-1024m10	2608936	18.398	0.882	656123556	92.03	743674184	684414610	338935671	317187885	313878112	13779	656114953	56.16	132.01	299.57	108484767	275.14				303.3				50	1048576000	13021	/work/vcomp/exp/eval_20260909_night1/E4-1024m10_baseline	2026-09-13T02:07:27.266734+00:00
eval_20260913_e4_ycsb	E4-1024m10_baseline__workloade	workloade		baseline	E4-1024m10	118788	404.056						0	0	0	4526	0	81.56	765.78	1695.38	109029338	272.95				303.2				50	1048576000	13021	/work/vcomp/exp/eval_20260909_night1/E4-1024m10_baseline	2026-09-13T02:12:31.181320+00:00
eval_20260913_e4_ycsb	E4-1024m10_baseline__workloadf	workloadf		baseline	E4-1024m10	584175	82.165	7.597	1331591519	86.46	175278456	151543522	1229477646	102113873	90138246	23842	1331583037	71.72	315.01	565.76	75139162	875.91				304.1				50	1048576000	13021	/work/vcomp/exp/eval_20260909_night1/E4-1024m10_baseline	2026-09-13T02:17:35.945691+00:00
