axis	plr	kmv	load_min	rss_gb	plr_mb	ssts	db_gb	kops	found
kmv	8	128	1.3599210898081462	1.649790976	346.601856	17114	944.826100735	1359.338	60.28348338739964
kmv	8	256	1.6410194158554077	1.67133184	346.70928	14871	894.291220707	1555.06	60.179128521991224
kmv	8	1024	4.893727560838063	1.549266944	346.736736	13367	833.769690336	1497.603	60.069828941793965
kmv	8	2048	11.259453050295512	1.539514368	346.73392	13217	826.100705591	1400.993	60.10921349026589
plr	2	512	16.916994921366374	4.543397888	3076.374592	13792	852.432253273	1520.437	60.09549057555786
plr	4	512	6.302196681499481	2.43380224	1121.916416	13740	851.018135399	1384.182	60.072754296482444
plr	8	512	2.41304349899292	1.612509184	346.80208	13719	850.067997773	1459.398	60.04708628793766
plr	16	512	1.2079698324203492	1.307439104	101.345792	13754	850.669147911	1417.006	60.10292662381273
plr	32	512	0.8892805178960165	1.158311936	32.387968	13733	850.406005218	1597.976	60.09757936752255
