target_gib	mode	point	elapsed_sec	db_tb	campaign	db_dir
1000	f2load	P0fix-r1	61.4	0.823	fix_20260913_load	/work/vcomp/exp/fix_20260913/P0fix-r1_f2load
1000	f2load	P0fix-r2	62.1	0.822	fix_20260913_load	/work/vcomp/exp/fix_20260913/P0fix-r2_f2load
1000	f2load	E4-64m10	62.6	0.727	fix_20260913_load_E4-64m10	/work/vcomp/exp/fix_20260913/E4-64m10_f2load
1000	f2load	P0fix-r1	62.8	0.824	nobitmap_remaining_20260914_run1_load	/work/vcomp/exp/nobitmap_remaining_20260914_run1/P0fix-r1_f2load
1000	f2load	E8-bloom0	64.5	0.821	eval_20260913_rest_load	/work/vcomp/exp/eval_20260909_night1/E8-bloom0_f2load
1000	f2load	E4-256m4	64.6	0.74	fix_20260913_load_E4-256m4	/work/vcomp/exp/fix_20260913/E4-256m4_f2load
1000	f2load	sh8	65.6	0.825	shards_20260915_load	/work/vcomp/exp/shards_20260915/sh8_f2load
1000	f2load	P0-r2	65.9	0.809	eval_20260909_night1	/work/vcomp/exp/eval_20260909_night1/P0-r2_f2load
1000	f2load	P0-r3	66.1	0.818	eval_20260909_night1	/work/vcomp/exp/eval_20260909_night1/P0-r3_f2load
1000	f2load	E4-256m4	66.3	0.748	nobitmap_remaining_20260914_run1_load	/work/vcomp/exp/nobitmap_remaining_20260914_run1/E4-256m4_f2load
1000	f2load	sh32	66.9	0.824	shards_20260915_load	/work/vcomp/exp/shards_20260915/sh32_f2load
1000	f2load	E8-ribbon	67.1	0.822	eval_20260913_rest_load	/work/vcomp/exp/eval_20260909_night1/E8-ribbon_f2load
1000	f2load	E8-bloom16	67.3	0.812	eval_20260913_rest_load	/work/vcomp/exp/eval_20260909_night1/E8-bloom16_f2load
1000	f2load	sh16	67.5	0.824	shards_20260915_load	/work/vcomp/exp/shards_20260915/sh16_f2load
1000	f2load	P0-r1	67.8	0.81	eval_20260912_f2load	/work/vcomp/exp/eval_20260909_night1/P0-r1_f2load
1000	f2load	E4-64m10	68.5	0.727	eval_20260913_rest_load	/work/vcomp/exp/eval_20260909_night1/E4-64m10_f2load
1000	f2load	E8-partitioned	68.5	0.818	eval_20260913_rest_load	/work/vcomp/exp/eval_20260909_night1/E8-partitioned_f2load
1000	f2load	E4-1024m10	68.6	0.754	fix_20260913_load_E4-1024m10	/work/vcomp/exp/fix_20260913/E4-1024m10_f2load
1000	f2load	E4-1024m4	68.9	0.853	fix_20260913_load_E4-1024m4	/work/vcomp/exp/fix_20260913/E4-1024m4_f2load
