avg_latency_us	binary_sha256	bloom_full_positive	bloom_full_true_positive	bloom_positive_per_op	bloom_true_positive_per_op	bloom_useful	cache_size_bytes	config_id	data_cache_hit	data_cache_miss	duration_sec	elapsed_sec	filter_cache_hit	filter_cache_miss	filter_positive_pct	filter_probes	filter_probes_per_op	index_cache_hit	index_cache_miss	log_dir	measured_seconds	metadata_placement	operations	p50_latency_us	p95_latency_us	p99_latency_us	peak_rss_gib	peak_rss_kb	read_seed	reader	result_dir	source_db_dir	source_loading_case	source_loading_elapsed_sec	status	successful_gets	successful_lookup_pct	system	threads	throughput_ops_sec	throughput_vs_baseline	latency_vs_baseline	filter_probes_vs_baseline	disk_read_ios	disk_read_mib
89.485	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b	164056807	160920468	1.0194899942746873	1.0	330119184	53687091200	B_cache_5pct	5143367	159034975	300	304.7624862194061	494157876	18115	33.19805291795327	494175991	3.0709330959688734	164038675	18132	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/B_cache_5pct/fillseq_ow	300.014	cache	160920468	93.190146	109.722659	171.49728	50.75258255004883	53217940	87654321	readrandom	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/B_cache_5pct/fillseq_ow	/work/vcomp/exp/paper_ch23_common_260905_approved_run3/full/fillseq_ow_1kb	fillseq_ow_1kb	1314.6033880710602	ok	160920468	100.0	fillseq_ow	48	536377.0	0.7082660997477915	1.4118807194698642	0.7710698514926156	159758454	1264657.1796875
57.873	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b	160389195	153792621	0.64460215647692	0.6180906085777015	716714769	53687091200	B_cache_5pct	9032494	151559411	300	304.22996616363525	877091031	12933	18.286223935022598	877103964	3.5250697944388008	160376182	13013	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260907_f2_completion1/full/B_cache_5pct/f2load	300.015	cache	248818893	81.754661	108.542978	156.037831	50.676414489746094	53138072	87654321	readrandom	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260907_f2_completion1/full/B_cache_5pct/f2load	/work/vcomp/exp/paper_ch23_common_260907_f2_completion1/full/f2load_1kb	f2load_1kb	134.7306969165802	ok	153792621	61.809060857770156	f2load	48	829354.0	1.0951314521134015	0.9131113916061848	0.8850974469183229	152218871	1202778.59765625
70.061	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b	136635864	129924259	0.6647825789619604	0.6321282087969355	681947705	1	C_pinned_zero	8	136841304	300	301.40963101387024	0	0	16.6917428072637	818583569	3.982703224211367	0	0	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/C_pinned_zero/baseline	300.003	pinned	205534664	84.798968	153.581061	206.972253	4.880744934082031	5117832	87654321	readrandom	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/C_pinned_zero/baseline	/work/vcomp/exp/paper_ch23_common_260905_approved_run3/full/baseline_1kb	baseline_1kb	3501.4172496795654	ok	129924259	63.21282087969356	baseline	48	685109.0	1.0	1.0	1.0	137402994	1081767.99609375
13178.37	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b	109023286	691360	99.77074651014242	0.6326859686402413	11096248736	1	C_pinned_zero	0	115298106	300	301.42165184020996	0	0	0.9729642063659666	11205272022	10254.308006127727	0	0	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/C_pinned_zero/flush_only	300.027	pinned	1092738	14118.976849	24710.276191	32055.067367	6.077903747558594	6373144	87654321	readrandom	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/C_pinned_zero/flush_only	/work/vcomp/exp/paper_ch23_common_260905_approved_run3/full/flush_only_1kb	flush_only_1kb	979.7261683940887	ok	691360	63.26859686402413	flush_only	48	3642.0	0.00531594242667955	188.09851415195328	2574.7105493049203	115797003	913377.44921875
69.301	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b	132088741	131349644	0.6356839976402707	0.6321270545424186	75700033	1	C_pinned_zero	6	132089883	300	301.0191786289215	0	0	63.568757087906974	207788774	0.9999943789387072	0	0	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/C_pinned_zero/last_comp	300.002	pinned	207789942	83.66094	143.73209	165.310711	4.041053771972656	4237352	87654321	readrandom	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/C_pinned_zero/last_comp	/work/vcomp/exp/paper_ch23_common_260905_approved_run3/full/last_comp_1kb	last_comp_1kb	5122.547931909561	ok	131349644	63.21270545424186	last_comp	48	692628.0	1.0109748959654594	0.989152310129744	0.2510843320836994	132625948	1043473.90625
109.568	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b	131424876	131424876	1.0	1.0	0	1	C_pinned_zero	5	131424871	300	301.4536542892456	0	0	100.0	131424876	1.0	0	0	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/C_pinned_zero/fillseq	300.002	pinned	131424876	96.801303	155.109957	167.617049	6.37310791015625	6682688	87654321	readrandom	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/C_pinned_zero/fillseq	/work/vcomp/exp/paper_ch23_common_260905_approved_run3/full/fillseq_1kb	fillseq_1kb	962.644020318985	ok	131424876	100.0	fillseq	48	438079.0	0.6394296382035559	1.5638943206634217	0.2510857434520531	131978358	1039610.46875
109.353	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b	134250946	131683440	1.0194975617283388	1.0	270140281	1	C_pinned_zero	4	134350542	300	301.6997609138489	0	0	33.19828350282189	404391227	3.0709345609440337	0	0	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/C_pinned_zero/fillseq_ow	300.002	pinned	131683440	96.5122	159.003548	215.524199	6.992790222167969	7332472	87654321	readrandom	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/C_pinned_zero/fillseq_ow	/work/vcomp/exp/paper_ch23_common_260905_approved_run3/full/fillseq_ow_1kb	fillseq_ow_1kb	1314.6033880710602	ok	131683440	100.0	fillseq_ow	48	438941.0	0.6406878321551753	1.5608255662922308	0.771067887327237	134923951	1063226.73046875
67.474	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b	137574185	131915139	0.644633345586008	0.618116672012364	614726023	1	C_pinned_zero	4	137748167	300	301.2231981754303	0	0	18.28713903532511	752300208	3.525063949810713	0	0	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260907_f2_completion1/full/C_pinned_zero/f2load	300.002	pinned	213414627	83.468834	139.124087	187.324161	4.841880798339844	5077080	87654321	readrandom	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260907_f2_completion1/full/C_pinned_zero/f2load	/work/vcomp/exp/paper_ch23_common_260907_f2_completion1/full/f2load_1kb	f2load_1kb	134.7306969165802	ok	131915139	61.811667201236396	f2load	48	711376.0	1.0383398846023042	0.9630750346126946	0.8850933025542537	138318801	1088348.734375
58.058	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b	164882305	156782321	0.6647762939700956	0.6321185909816696	822930429	53687091200	D_pinned_5pct	11233780	153896488	300	305.00546407699585	0	0	16.691656153523528	987812734	3.9826862466835835	0	0	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/D_pinned_5pct/baseline	300.002	pinned	248026752	81.130905	140.24232	166.559539	55.52534866333008	58222548	87654321	readrandom	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/D_pinned_5pct/baseline	/work/vcomp/exp/paper_ch23_common_260905_approved_run3/full/baseline_1kb	baseline_1kb	3501.4172496795654	ok	156782321	63.21185909816696	baseline	48	826749.0	1.0	1.0	1.0	154525307	1215898.62890625
13006.779	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b	110461942	700499	99.77116261257477	0.6327029778178807	11242775900	53687091200	D_pinned_5pct	6146861	110671793	300	305.4735324382782	0	0	0.9729554118152861	11353237842	10254.44346174377	0	0	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/D_pinned_5pct/flush_only	300.023	pinned	1107153	14003.261644	25334.424286	32249.906591	56.72129440307617	59476588	87654321	readrandom	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/D_pinned_5pct/flush_only	/work/vcomp/exp/paper_ch23_common_260905_approved_run3/full/flush_only_1kb	flush_only_1kb	979.7261683940887	ok	700499	63.27029778178807	flush_only	48	3690.0	0.004463265150607984	224.03077956526232	2574.755535985977	111152379	876977.3984375
51.056	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b	179294859	178290525	0.6356961050491946	0.6321352042206411	102748455	53687091200	D_pinned_5pct	10635775	168660655	300	304.56825280189514	0	0	63.56997315667621	282043314	0.9999942952350183	0	0	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/D_pinned_5pct/last_comp	300.002	pinned	282044923	76.680752	107.249101	109.966288	54.683441162109375	57339744	87654321	readrandom	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/D_pinned_5pct/last_comp	/work/vcomp/exp/paper_ch23_common_260905_approved_run3/full/last_comp_1kb	last_comp_1kb	5122.547931909561	ok	178290525	63.213520422064114	last_comp	48	940142.0	1.1371552913883174	0.8793964656033622	0.2510853813974731	169340807	1331092.0234375
81.699	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b	176257096	176257096	1.0	1.0	0	53687091200	D_pinned_5pct	6595198	169661898	300	305.0720684528351	0	0	100.0	176257096	1.0	0	0	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/D_pinned_5pct/fillseq	300.002	pinned	176257096	90.666632	108.678373	135.191276	57.015323638916016	59784900	87654321	readrandom	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/D_pinned_5pct/fillseq	/work/vcomp/exp/paper_ch23_common_260905_approved_run3/full/fillseq_1kb	fillseq_1kb	962.644020318985	ok	176257096	100.0	fillseq	48	587518.0	0.7106364809633879	1.4071962520238381	0.2510868137887358	170365781	1340070.4140625
84.394	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b	173953409	170628530	1.01948606718935	1.0	350032783	53687091200	D_pinned_5pct	6295684	167786543	300	305.2095844745636	0	0	33.198090265706846	523986192	3.0709178119274663	0	0	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/D_pinned_5pct/fillseq_ow	300.002	pinned	170628530	91.888772	109.441911	160.536494	57.63349914550781	60433104	87654321	readrandom	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260905_approved_run3/full/D_pinned_5pct/fillseq_ow	/work/vcomp/exp/paper_ch23_common_260905_approved_run3/full/fillseq_ow_1kb	fillseq_ow_1kb	1314.6033880710602	ok	170628530	100.0	fillseq_ow	48	568757.0	0.6879439829984675	1.4536153501670743	0.7710669688039437	168491252	1325978.08203125
53.223	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b	174405010	167231141	0.6446024716586525	0.6180877878846291	779346720	53687091200	D_pinned_5pct	10810005	163815244	300	304.7379333972931	0	0	18.28620641138968	953751730	3.52507489610944	0	0	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260907_f2_completion1/full/D_pinned_5pct/f2load	300.002	pinned	270562118	79.418407	108.114268	145.522974	55.486549377441406	58181864	87654321	readrandom	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_ch23_common_260907_f2_completion1/full/D_pinned_5pct/f2load	/work/vcomp/exp/paper_ch23_common_260907_f2_completion1/full/f2load_1kb	f2load_1kb	134.7306969165802	ok	167231141	61.80877878846292	f2load	48	901866.0	1.0908582895171328	0.9167212098246581	0.8850998240307781	164487678	1293305.3671875
