system	rocksdb_version	rocksdb_commit	target_gib	configured_cap	actual_subcompactions	status	elapsed_sec	fill_sec	fill_ops_sec	stall_us	user_cpu_sec	system_cpu_sec	avg_cpu_pct	peak_rss_kb	benchmark_peak_swap_kb	system_swap_in_delta	system_swap_out_delta	md0_write_bytes	logical_bytes	device_write_amplification	final_db_bytes	read_found	read_requested
baseline_sub1	11.1.0	cae42cd895f3bdeaaed1e58c0d27e2755b6ad308	500	1	0	ok	2314	2289.146	229032	1575478617	13513.13	706.92	614	3167972	0	0	0	6278600974336	536870912000	11.694806	374412870593	10000	10000
baseline_sub16	11.1.0	cae42cd895f3bdeaaed1e58c0d27e2755b6ad308	500	16	2386	ok	1107	1096.732	478045	397224592	13939.17	765.08	1328	3496004	0	0	0	6324984770560	536870912000	11.781202	374186566040	10000	10000
