system	status	target_gib	num_keys	key_size	value_size	memtable	max_background_jobs	max_write_buffer_number	write_buffer_size_bytes	direct_reads	direct_flush_compaction	gc_enabled	elapsed_sec	fillrandom_sec	ops_per_sec	stall_sec	stall_delay_count	stall_stop_count	compaction_count	compaction_time_sec	compaction_read_bytes	compaction_write_bytes	device_write_bytes	device_waf	final_db_bytes	peak_rss_kb	blob_file_count	blob_file_bytes	blob_garbage_reported_gb	blob_space_amp	gc_bytes_relocated	read_found	read_requested	commit	binary_sha256	log_dir	db_dir
clean_vector	ok	100	104857600	24	1000	vector	48	2	67108864	true	true	false	336	322.336	325305	215.600556	184	2269	2650	1507.548704	697071352337	667174973440	827201699840	7.703916	82369172534	1243220	0	0	0	0	0	10000	10000	f455ab7bd6a8c67f00d48075bb310f131d9fae5f	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b	experiments/artifacts/log_loads/paper_blobdb_100gib_fig4fair_260902_run1/baseline	/work/vcomp/exp/paper_blobdb_100gib_fig4fair_260902_run1/baseline
rocksdb_blobdb	ok	100	104857600	24	1000	vector	48	2	67108864	true	true	false	185	166.466	629905	67.620412	65	1676	554	363.106944	29149509465	27135713280	145259429888	1.352834	113498089303	1008004	1624	110695452752	34.9	1.5	0	10000	10000	f455ab7bd6a8c67f00d48075bb310f131d9fae5f	8b261de96ed14f84d3b652c43825ab5b2ac68cbe5ff65b95ee379633c69e883b	experiments/artifacts/log_loads/paper_blobdb_100gib_fig4fair_260902_run1/blobdb	/work/vcomp/exp/paper_blobdb_100gib_fig4fair_260902_run1/blobdb
