system	dataset_gib	key_bytes	value_bytes	memtable	fea	tea	elapsed_sec	loading_min	fillrandom_sec	peak_rss_kb	timed_wait_state	tuner_records	tuner_config_changes	reopen_validation_sec	read_found	read_requested	status	source
ADOC-on	1000	24	1000	vector	true	true	3840	64.0000	3798.908	7394716	finished	3798	3292	3.8	10000	10000	verified_core48	experiments/artifacts/log_loads/paper_adoc_core48_1000gib_260902_run1/adoc_on
ADOC-off	1000	24	1000	vector	false	false	3354	55.9000	3333.142	6069664	finished	3332	0	8.69	10000	10000	verified	experiments/artifacts/log_loads/paper_adoc_1tb_260901_run1_off/adoc_off
