plr_error	jobs	merged_plr_segments_mean	output_count_exact_pct	output_count_within1_pct	entry_error_p50_pct	entry_error_p95_pct	rank_ks_p50	rank_ks_p95	rank_count_sup_p50	rank_count_sup_p95	boundary_mass_error_p50	boundary_mass_error_p95
2	300	29581.8	97.333	99.667	0.0675	0.3202	0.00146508	0.00836949	0.00200035	0.00841212	0.00061266	0.00259869
4	300	9747.0	97.333	100.0	0.0675	0.3202	0.00124572	0.00677694	0.00185886	0.00817793	0.00057299	0.00187025
8	300	2834.9	97.333	100.0	0.0675	0.3202	0.00122896	0.00570592	0.00175965	0.00701895	0.00052438	0.00190795
16	300	769.7	97.333	100.0	0.0675	0.3202	0.00136614	0.00567275	0.00186866	0.00666946	0.0005582	0.00193452
32	300	202.7	97.333	100.0	0.0675	0.3202	0.00142079	0.00582522	0.00198056	0.00670892	0.00058651	0.00192721
