job	plr_error	output_level	plr_segments	actual_output_files	predicted_output_files	output_file_delta	actual_entries	predicted_entries	entry_error_pct	rank_ks	rank_count_sup	boundary_mass_error
7	2	1	27782	4	4	0	258275	258132	-0.05536734101248669	0.0010857136461370767	0.0015061465492207918	0.0005072113057787242
12	2	0	27959	1	1	0	258293	258310	0.006581672751487652	0.0009662370481665382	0.0009059478963812414	6.581672751487652e-05
17	2	0	28100	1	1	0	258298	258316	0.006968695073132583	0.0013748810898832245	0.0014169679982036253	6.968695073132583e-05
23	2	0	28141	1	1	0	258277	258308	0.012002617344943607	0.0009726527033328517	0.0008943885828006365	0.00012002617344943607
31	2	0	27972	1	1	0	258294	258313	0.00735595871371383	0.0011818676413427047	0.0012040542947184217	7.35595871371383e-05
45	2	0	28104	1	1	0	258296	258148	-0.057298603152971785	0.0012995375644908782	0.0017034719856288908	0.0005729860315297178
59	2	0	27865	1	1	0	258296	258310	0.005420138136091926	0.001191156267642682	0.001235017189580946	5.4201381360919255e-05
73	2	0	28176	1	1	0	258294	258315	0.008130270157262654	0.0011859047600152794	0.0012001827375006774	8.130270157262655e-05
87	2	0	28097	1	1	0	258293	258311	0.006968829972163396	0.0011371984476079894	0.0010879117900988412	6.968829972163396e-05
99	2	0	27991	1	1	0	258289	258312	0.00890475397713414	0.0011992557488672523	0.0011498747526994956	8.904753977134141e-05
115	2	0	28309	1	1	0	258290	258312	0.00851755778388633	0.0011030925165987778	0.0011498703008246546	8.517557783886329e-05
129	2	0	28170	1	1	0	258287	258314	0.01045348778684177	0.0007266904234785872	0.0007704607665116711	0.00010453487786841769
141	2	0	28018	1	1	0	258290	258310	0.007743234348987572	0.0013006442422837734	0.0013628092454218126	7.743234348987572e-05
158	2	0	28067	1	1	0	258282	258306	0.009292169024554557	0.0011374351659160288	0.0010957015974787248	9.292169024554556e-05
172	2	0	28201	1	1	0	258282	258302	0.007743474187128797	0.0010044620238258265	0.0010453690152623877	7.743474187128797e-05
184	2	0	28158	1	1	0	258297	258144	-0.05923413744642795	0.0013125683171997455	0.0016492642190966214	0.0005923413744642795
196	2	1	441226	33	33	0	4060609	4061108	0.01228879707452749	0.0002813257866293848	0.000291828146960222	5.512682576640224e-05
201	2	0	28017	1	1	0	258282	258312	0.011615211280693196	0.000993167473641645	0.0009137299540811981	0.00011615211280693196
210	2	2	115480	17	17	0	1067091	1067032	-0.00552905047460807	0.0004490281748754104	0.00041233596759788994	0.00015501186375471476
211	2	2	117832	17	17	0	1084455	1084335	-0.011065466063598766	0.0004736369450235974	0.0004407743982000175	0.00010083677162857897
212	2	2	117278	17	17	0	1082435	1082351	-0.007760281217809846	0.00047532901171900074	0.000412033978945618	0.00011096984766644051
213	2	2	117233	17	17	0	1083875	1083800	-0.006919617114519663	0.0004632096063200957	0.0004160996424864491	7.40806067554458e-05
225	2	0	35001	1	1	0	322854	322893	0.012079763608318311	0.0007993324402660307	0.0008424860772980975	0.00012079763608318312
238	2	0	28284	1	1	0	258281	258308	0.01045373062672051	0.0009639260927411124	0.0009098617397330814	0.0001045373062672051
251	2	0	28152	1	1	0	258288	258310	0.008517623737843028	0.0006895698102068594	0.0006504367217989222	8.517623737843028e-05
264	2	0	28127	1	1	0	258290	258312	0.00851755778388633	0.0008570099618188331	0.0009059584188315459	8.517557783886329e-05
279	2	0	27864	1	1	0	258282	258307	0.009679342733910997	0.0016239849678720871	0.0015680535228935813	9.679342733910996e-05
292	2	0	28150	1	1	0	258283	258311	0.010840821889168083	0.000939832882842484	0.0009679305258185789	0.00010840821889168083
307	2	0	28272	1	1	0	258286	258306	0.007743354266201033	0.0015631964248865784	0.0015099540819092014	7.743354266201033e-05
318	2	0	28195	1	1	0	258296	258315	0.007355901756124756	0.001046105469729715	0.000994982500696875	7.355901756124756e-05
335	2	0	28174	1	1	0	258293	258314	0.008130301634190628	0.0009634507420481887	0.0009795077683096328	8.130301634190628e-05
349	2	0	27962	1	1	0	258280	258311	0.012002477930927676	0.0011572643901468676	0.001076351246708998	0.00012002477930927675
361	2	0	28151	1	1	0	258292	258313	0.008130333111362334	0.0011718491071831439	0.0011266318740030662	8.130333111362334e-05
393	2	0	28066	1	1	0	258285	258153	-0.05110633602415936	0.001415902119111232	0.001134405792051416	0.0005110633602415936
407	2	0	28103	1	1	0	258291	258316	0.009679005462830683	0.0011627066169355585	0.0011305078380586238	9.679005462830683e-05
419	2	0	28183	1	1	0	258285	258316	0.012002245581431365	0.0012222928705064163	0.0013357337824496196	0.00012002245581431365
431	2	1	448499	53	53	0	4124915	4124089	-0.020024655053498073	0.00037476793406277713	0.00025188397821530867	4.516045030453343e-05
436	2	0	28105	1	1	0	258288	258152	-0.05265440128848417	0.0016761593806195396	0.0019977699312395463	0.0005265440128848417
448	2	2	16951	2	2	0	157322	157366	0.027968116347364003	0.006045528569451465	0.005975006674209583	0.001080586313420882
449	2	2	13771	2	2	0	127290	127221	-0.05420692905962762	0.002058116467908594	0.0022468379291381885	0.000557781443946893
450	2	2	13740	2	2	0	127230	126973	-0.20199638450051088	0.0013642243415019468	0.0029709974062721058	0.0010139118132515917
451	2	2	13604	2	2	0	127077	127156	0.06216703258654202	0.0017128995606516977	0.0014400717675110365	0.0010702172698442676
452	2	2	13720	2	2	0	127022	126507	-0.40544157704964495	0.0018353304524563623	0.004203996158145833	0.002031144211238998
453	2	2	13846	2	2	0	126908	127014	0.08352507328143222	0.0015664286105385359	0.0018517351152015633	0.0004136855044599237
454	2	2	13796	2	2	0	126839	126948	0.08593571377888504	0.0025616358338971757	0.0030511120396723404	0.0016004541190012536
455	2	2	13660	2	2	0	126828	126543	-0.22471378559939445	0.0015811399914445207	0.002633487873340272	0.0011235689279969724
456	2	2	13898	2	2	0	126854	126942	0.06937108802245101	0.0014533991169283686	0.0017973418260362306	0.0007410093493307266
457	2	2	13767	2	2	0	126825	126942	0.09225310467179183	0.0013324796255149366	0.0019396806623299824	0.0004573230829883698
458	2	2	13768	2	2	0	126764	126602	-0.12779653529393203	0.001555379250594402	0.0020668328547537155	0.0006389826764696602
459	2	2	13737	2	2	0	126821	126755	-0.05204185426703779	0.0023504364326763596	0.002523241419007893	0.0006978339549443705
460	2	2	13699	2	2	0	126745	126857	0.08836640498639	0.0016609240810343696	0.002019803542546057	0.0004378870961379147
461	2	2	13835	2	2	0	126669	126623	-0.03631512051093796	0.001541912093571901	0.0015078669603454673	0.0002763106995397453
462	2	2	13788	2	2	0	126658	126915	0.20290862006347804	0.0018061483734522117	0.003458131345828925	0.0010105954617947543
463	2	2	13796	2	2	0	126644	126598	-0.03632228925176084	0.0019687563111411193	0.0020529989577082216	0.000884368781782003
464	2	2	13713	2	2	0	126697	125916	-0.6164313282871733	0.0014099235871868885	0.006582634158662005	0.0030821566414358666
465	2	2	9372	2	2	0	86677	86552	-0.14421357453534386	0.0023638556328336754	0.0024804734820079145	0.0007210678726767193
466	2	2	13808	2	2	0	126616	126886	0.21324319201364755	0.00148654902377006	0.002290389840146585	0.001062267012067985
467	2	2	13783	2	2	0	126630	126348	-0.22269604359156597	0.0018279972777359526	0.0025902234857458737	0.0011174287293690278
468	2	2	13760	2	2	0	126559	126631	0.05689046215599049	0.0019083287393508335	0.0018094327546835864	0.0002844523107799524
469	2	2	13576	2	2	0	126562	126689	0.1003460754412857	0.0013933212288312334	0.0022913670770057363	0.0004977797443150392
470	2	2	13796	2	2	0	126561	126512	-0.03871650824503599	0.0019670985260663294	0.0018094041608394372	0.0002133358617583616
471	2	2	13766	2	2	0	126568	126500	-0.053726060299601794	0.0013770352758241723	0.0015327728967827572	0.0005214588205549587
472	2	2	13650	2	2	0	126510	126246	-0.20867915579796065	0.0028490092803781794	0.002165836692751561	0.0019326535451742947
473	2	2	13834	2	2	0	126509	126470	-0.030827846240188445	0.0014066610117187336	0.0016283426475586717	0.0005888909089471896
474	2	2	13845	2	2	0	126525	126622	0.0766646907725746	0.0014246729147189897	0.001509583086346572	0.0003675163011262596
475	2	2	13830	2	2	0	126518	126152	-0.289286899887763	0.001136130662326942	0.003762310501272546	0.0014543385130969507
476	2	2	6098	1	1	0	56736	56692	-0.0775521714608009	0.0034270659888926336	0.0030844613649182178	0.000775521714608009
477	2	2	13734	2	2	0	126470	126563	0.07353522574523602	0.0020240009144679204	0.002427453150944888	0.000944888115758678
478	2	2	13659	2	2	0	126453	126556	0.08145318814104845	0.0016341929898906066	0.0017397768340806465	0.00040331190244596805
479	2	2	13763	2	2	0	126387	126473	0.06804497297981596	0.0024730133275550213	0.0029275162793641753	0.0008505621622476995
480	2	2	13643	2	2	0	126406	126652	0.19461101529990665	0.0017075300191809392	0.0019619321867632867	0.0009730550764995333
481	2	2	9743	2	2	0	89302	89368	0.07390651945085217	0.003007643223976385	0.0026203220532574857	0.0011421916642404425
