carried_state,case,grandparent_boundaries,initial_plr_error,input_descriptor_entries,input_descriptor_files,input_global_empty_sketches,input_global_incomplete_sketches,input_global_sample_distinct_union,input_global_sample_entries,input_original_keys_covered_by_any_descriptor_range,input_original_keys_outside_all_descriptor_ranges,input_range_empty_sketches,input_range_estimated_entry_sum,input_range_incomplete_sketches,input_range_sample_entries,input_range_sketches,isolated_union_estimate,kmv_samples,merged_target,original_input_entry_sum,output_descriptor_entries,output_descriptor_files,output_global_empty_sketches,output_global_incomplete_sketches,output_global_sample_distinct_union,output_global_sample_entries,output_original_keys_covered_by_any_descriptor_range,output_original_keys_outside_all_descriptor_ranges,output_range_empty_sketches,output_range_estimated_entry_sum,output_range_incomplete_sketches,output_range_sample_entries,output_range_sketches,range_buckets,raw_outputs_capacity_violations,raw_outputs_crossfile_duplicate_rows,raw_outputs_files,raw_outputs_invalid_ranges,raw_outputs_invented_keys,raw_outputs_library_distinct_union,raw_outputs_library_invented_keys,raw_outputs_library_missing_original_keys,raw_outputs_library_perfile_distinct_sum,raw_outputs_library_raw_vector_rows,raw_outputs_library_unique_vs_stream_disagree_files,raw_outputs_library_within_file_duplicates,raw_outputs_missing_original_keys,raw_outputs_overlapping_range_pairs,raw_outputs_planned_entries,raw_outputs_stream_distinct_union,raw_outputs_stream_reference_drop,raw_outputs_stream_reference_rows,record_type,round,sst_target_entries,target_minus_true_union,this_round_entry_drop,trimmed_outputs_diagnostic_only_capacity_violations,trimmed_outputs_diagnostic_only_crossfile_duplicate_rows,trimmed_outputs_diagnostic_only_files,trimmed_outputs_diagnostic_only_invalid_ranges,trimmed_outputs_diagnostic_only_invented_keys,trimmed_outputs_diagnostic_only_library_distinct_union,trimmed_outputs_diagnostic_only_library_invented_keys,trimmed_outputs_diagnostic_only_library_missing_original_keys,trimmed_outputs_diagnostic_only_library_perfile_distinct_sum,trimmed_outputs_diagnostic_only_library_raw_vector_rows,trimmed_outputs_diagnostic_only_library_unique_vs_stream_disagree_files,trimmed_outputs_diagnostic_only_library_within_file_duplicates,trimmed_outputs_diagnostic_only_missing_original_keys,trimmed_outputs_diagnostic_only_overlapping_range_pairs,trimmed_outputs_diagnostic_only_planned_entries,trimmed_outputs_diagnostic_only_stream_distinct_union,trimmed_outputs_diagnostic_only_stream_reference_drop,trimmed_outputs_diagnostic_only_stream_reference_rows,true_original_union
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",disjoint_interleaved,0,8,16383,32,0,0,16382,16382,16382,2,0,16382,0,16382,256,16382,16384,16382,16384,16382,32,0,0,16382,16383,16384,0,0,16383,0,16383,256,8,6,1,32,0,0,16371,0,13,16372,16382,0,10,13,1,16382,16371,10,16372,fixed_original_set_remerge,3,512,-2,1,7,0,32,0,0,16372,0,12,16372,16382,0,10,12,0,16382,16372,10,16372,16384
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",disjoint_interleaved,0,8,16382,32,0,0,16382,16383,16384,0,0,16383,0,16383,256,16382,16384,16382,16384,16382,32,0,0,16381,16387,16383,1,0,16387,0,16387,256,8,3,6,32,0,0,16344,0,40,16350,16382,0,32,40,6,16382,16344,32,16350,fixed_original_set_remerge,4,512,-2,0,7,0,32,0,0,16349,0,35,16349,16382,0,33,35,0,16382,16349,33,16349,16384
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",hot_shared_core,0,8,16384,4,0,4,1030,2048,8192,0,0,16384,32,2048,32,8537,512,8537,16384,8537,17,0,17,938,938,8182,10,0,8736,136,961,136,8,4,1,17,0,5619,8307,5619,5504,8308,8537,0,229,5504,1,8537,8307,229,8308,fixed_original_set_remerge,1,512,345,7847,4,0,17,0,5619,8307,5619,5504,8307,8537,0,230,5504,0,8537,8307,230,8307,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",hot_shared_core,0,8,8537,17,0,17,938,938,8182,10,0,8736,136,961,136,8537,512,8537,16384,8537,17,0,17,925,925,8182,10,0,8712,136,956,136,8,2,1,17,0,5761,8400,5761,5553,8401,8537,0,136,5553,1,8537,8400,136,8401,fixed_original_set_remerge,2,512,345,0,2,0,17,0,5762,8401,5762,5553,8401,8537,0,136,5553,0,8537,8401,136,8401,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",hot_shared_core,0,8,8537,17,0,17,925,925,8182,10,0,8712,136,956,136,8537,512,8537,16384,8537,17,0,17,920,920,8181,11,0,8723,136,955,136,8,2,1,17,0,5739,8349,5739,5582,8350,8537,0,187,5582,1,8537,8349,187,8350,fixed_original_set_remerge,3,512,345,0,2,0,17,0,5739,8349,5739,5582,8349,8537,0,188,5582,0,8537,8349,188,8349,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",hot_shared_core,0,8,8537,17,0,17,920,920,8181,11,0,8723,136,955,136,8537,512,8537,16384,8537,17,0,17,911,912,8186,6,0,8742,136,952,136,8,2,2,17,0,5742,8354,5742,5580,8356,8537,0,181,5580,2,8537,8354,181,8356,fixed_original_set_remerge,4,512,345,0,2,0,17,0,5743,8356,5743,5579,8356,8537,0,181,5579,0,8537,8356,181,8356,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",hot_shared_core,0,8,16384,4,0,4,4112,8192,8192,0,0,16384,32,8192,32,8315,2048,8315,16384,8315,17,0,17,3911,3911,8181,11,0,8366,136,3921,136,8,4,0,17,0,5577,8277,5577,5492,8277,8315,0,38,5492,0,8315,8277,38,8277,fixed_original_set_remerge,1,512,123,8069,4,0,17,0,5577,8277,5577,5492,8277,8315,0,38,5492,0,8315,8277,38,8277,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",hot_shared_core,0,8,8315,17,0,17,3911,3911,8181,11,0,8366,136,3921,136,8287,2048,8287,16384,8287,17,0,17,3885,3885,8183,9,0,8350,136,3913,136,8,3,0,17,0,5570,8240,5570,5522,8240,8287,0,47,5522,0,8287,8240,47,8240,fixed_original_set_remerge,2,512,95,28,3,0,17,0,5570,8240,5570,5522,8240,8287,0,47,5522,0,8287,8240,47,8240,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",hot_shared_core,0,8,8287,17,0,17,3885,3885,8183,9,0,8350,136,3913,136,8276,2048,8276,16384,8276,17,0,17,3882,3882,8183,9,0,8349,136,3908,136,8,3,0,17,0,5531,8217,5531,5506,8217,8276,0,59,5506,0,8276,8217,59,8217,fixed_original_set_remerge,3,512,84,11,3,0,17,0,5531,8217,5531,5506,8217,8276,0,59,5506,0,8276,8217,59,8217,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",hot_shared_core,0,8,8276,17,0,17,3882,3882,8183,9,0,8349,136,3908,136,8267,2048,8267,16384,8267,17,0,17,3875,3876,8180,12,0,8339,136,3901,136,8,3,1,17,0,5503,8203,5503,5492,8204,8267,0,63,5492,1,8267,8203,63,8204,fixed_original_set_remerge,4,512,75,9,3,0,17,0,5504,8204,5504,5492,8204,8267,0,63,5492,0,8267,8204,63,8204,8192
