config_id	config_label	metadata_placement	cache_fraction	cache_size_bytes	system	system_label	status	measured_seconds	operations	throughput_ops_sec	avg_latency_us	p50_latency_us	p99_latency_us	bloom_useful	bloom_full_positive	bloom_full_true_positive	filter_probes	filter_probes_per_op	bloom_positive_per_op	bloom_true_positive_per_op	filter_cache_hit	filter_cache_miss	index_cache_hit	index_cache_miss	data_cache_hit	data_cache_miss	cache_counter_valid	disk_read_ios	disk_read_mib	disk_read_ios_per_op	disk_read_kib_per_op	peak_rss_gib	result_dir	source_db_dir	throughput_vs_baseline	latency_vs_baseline	filter_probes_vs_baseline
B_cache_5pct	Cache, 5%	cache	5%	53687091200	fillseq_ow	Fillseq+OW	ok	300.023	161606164	538646.000000	89.110000	93.310000	169.610000	382226623	165237975	161606164	547464598	3.387646761	1.022473221	1.000000000	547446510	18088	165219840	18135	5379792	159990715	true	160744405	1280991.170000	0.994667536	8.116862164	50.799118042	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/B_cache_5pct/fillseq_ow/figure4_fillseq_ow/workloadc	/work/vcomp/exp/paper_clean_fillseq_overwrite_wb16_1000gib_260903_run1/fillseq_overwrite_1000gib	0.715362784	1.397913562	0.936170603
B_cache_5pct	Cache, 5%	cache	5%	53687091200	f2load	F2Load	ok	300.021	249884093	832889.000000	57.629000	81.790000	157.450000	731092780	161233426	154331640	892326206	3.570960421	0.645232852	0.617612903	892313387	12819	161220538	12888	9210989	152235903	true	152915041	1212531.960000	0.611943878	4.968834599	50.715061188	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/B_cache_5pct/f2load/figure4_f2load/workloadc	/work/vcomp/exp/motivation_speedup_1kb/vcomp_1000gb_1kb_none_260904_figure4_db_rebuild2	1.106139828	0.904055220	0.986829031
C_pinned_zero	Pinned, 0%	pinned	0%	1	baseline	Baseline	ok	300.015	200825479	669385.000000	71.706000	87.330000	222.580000	594026019	132683453	126951184	726709472	3.618611919	0.660690335	0.632146800	0	0	0	0	5	132855119	true	133415857	1055752.780000	0.664337303	5.383235494	5.077358246	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_baseline_260905_5m/C_pinned_zero/baseline/figure4_baseline/workloadc	/work/vcomp/exp/paper_clean_vector_wb16_1000gib_260903_run1/baseline_bg48	1.000000000	1.000000000	1.000000000
C_pinned_zero	Pinned, 0%	pinned	0%	1	flush_only	Flush-only	ok	300.037	1126740	3755.000000	12780.930000	13873.680000	31126.390000	11440256570	112397886	713372	11552654456	10253.167950015	99.754944353	0.633129205	0	0	0	0	1	118867130	true	119409490	947707.840000	105.977856471	861.292603582	6.277412415	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/C_pinned_zero/flush_only/figure4_flush_only/workloadc	/work/vcomp/exp/paper_lastcomp_flushonly_wb16_1tib_260902_run1/flushonly_1000gib	0.005609627	178.240732993	2833.453318434
C_pinned_zero	Pinned, 0%	pinned	0%	1	last_comp	Last-comp	ok	300.019	214022702	713364.000000	67.285000	85.970000	168.550000	77967468	136053996	135290608	214021464	0.999994216	0.635698899	0.632132044	0	0	0	0	0	0	false	136603326	1074294.380000	0.638265589	5.140003536	4.152599335	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/C_pinned_zero/last_comp/figure4_last_comp/workloadc	/work/vcomp/exp/paper_lastcomp_from_nocomp_wb16_1000gib_260903_run1/lastcomp_1000gib	1.065700606	0.938345466	0.276347461
C_pinned_zero	Pinned, 0%	pinned	0%	1	fillseq	Fillseq	ok	300.022	135736306	452421.000000	106.091000	101.510000	169.450000	0	135736306	135736306	135736306	1.000000000	1.000000000	1.000000000	0	0	0	0	1	135736305	true	136337313	1080791.610000	1.004427754	8.153534167	6.508472443	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/C_pinned_zero/fillseq/figure4_fillseq/workloadc	/work/vcomp/exp/paper_clean_fillseq_wb16_1000gib_260903_run1/fillseq_1000gib	0.675875617	1.479527515	0.276349059
C_pinned_zero	Pinned, 0%	pinned	0%	1	fillseq_ow	Fillseq+OW	ok	300.016	126048629	420139.000000	114.245000	107.740000	235.720000	298126950	128882746	126048629	427009696	3.387658393	1.022484314	1.000000000	0	0	0	0	2	128986219	true	129565571	1029417.360000	1.027901470	8.362830957	7.157810211	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/C_pinned_zero/fillseq_ow/figure4_fillseq_ow/workloadc	/work/vcomp/exp/paper_clean_fillseq_overwrite_wb16_1000gib_260903_run1/fillseq_overwrite_1000gib	0.627649260	1.593241849	0.936176210
C_pinned_zero	Pinned, 0%	pinned	0%	1	f2load	F2Load	ok	300.018	208349754	694457.000000	69.117000	86.280000	207.530000	609577122	134436302	128679996	744013424	3.570982973	0.645243392	0.617615301	0	0	0	0	6	134614296	true	135191487	1068913.090000	0.648867994	5.253507543	5.057197571	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/C_pinned_zero/f2load/figure4_f2load/workloadc	/work/vcomp/exp/motivation_speedup_1kb/vcomp_1000gb_1kb_none_260904_figure4_db_rebuild2	1.037455276	0.963894235	0.986837786
D_pinned_5pct	Pinned, 5%	pinned	5%	53687091200	baseline	Baseline	ok	300.016	244127792	813716.000000	58.987000	81.680000	168.180000	722110263	161292185	154323964	883402448	3.618606635	0.660687518	0.632144185	0	0	0	0	9788389	151712811	true	152347388	1204249.880000	0.624047704	5.051255603	55.643600464	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_baseline_260905_5m/D_pinned_5pct/baseline/figure4_baseline/workloadc	/work/vcomp/exp/paper_clean_vector_wb16_1000gib_260903_run1/baseline_bg48	1.000000000	1.000000000	1.000000000
D_pinned_5pct	Pinned, 5%	pinned	5%	53687091200	flush_only	Flush-only	ok	300.031	1165221	3883.000000	12358.932000	13423.610000	30794.860000	11831056046	116239177	737751	11947295223	10253.243996632	99.757193700	0.633142554	0	0	0	0	6503025	116426999	true	116959592	928502.990000	100.375458389	815.971443838	56.847850800	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/D_pinned_5pct/flush_only/figure4_flush_only/workloadc	/work/vcomp/exp/paper_lastcomp_flushonly_wb16_1tib_260902_run1/flushonly_1000gib	0.004771935	209.519589062	2833.478471371
D_pinned_5pct	Pinned, 5%	pinned	5%	53687091200	last_comp	Last-comp	ok	300.019	284903700	949618.000000	50.545000	69.950000	142.050000	103786762	181115266	180099199	284902028	0.999994131	0.635706963	0.632140611	0	0	0	0	0	0	false	171021877	1343927.030000	0.600279593	4.830338387	54.722393036	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/D_pinned_5pct/last_comp/figure4_last_comp/workloadc	/work/vcomp/exp/paper_lastcomp_from_nocomp_wb16_1000gib_260903_run1/lastcomp_1000gib	1.167014044	0.856883720	0.276347841
D_pinned_5pct	Pinned, 5%	pinned	5%	53687091200	fillseq	Fillseq	ok	300.015	176730303	589071.000000	81.482000	91.030000	143.140000	0	176730303	176730303	176730303	1.000000000	1.000000000	1.000000000	0	0	0	0	6632203	170098100	true	170833296	1350799.940000	0.966632734	7.826723064	57.077270508	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/D_pinned_5pct/fillseq/figure4_fillseq/workloadc	/work/vcomp/exp/paper_clean_fillseq_wb16_1000gib_260903_run1/fillseq_1000gib	0.723927021	1.381355214	0.276349463
D_pinned_5pct	Pinned, 5%	pinned	5%	53687091200	fillseq_ow	Fillseq+OW	ok	300.019	171578851	571893.000000	83.929000	92.010000	162.060000	405812949	175434680	171578851	581247629	3.387641458	1.022472636	1.000000000	0	0	0	0	6585029	168990338	true	169726039	1343790.360000	0.989201396	8.019877279	57.726116180	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/D_pinned_5pct/fillseq_ow/figure4_fillseq_ow/workloadc	/work/vcomp/exp/paper_clean_fillseq_overwrite_wb16_1000gib_260903_run1/fillseq_overwrite_1000gib	0.702816462	1.422838931	0.936172897
D_pinned_5pct	Pinned, 5%	pinned	5%	53687091200	f2load	F2Load	ok	300.018	272062668	906821.000000	52.930000	79.680000	148.260000	795978481	175545251	168029971	971523732	3.570955689	0.645238291	0.617614950	0	0	0	0	11032097	164745500	true	165440627	1305822.260000	0.608097495	4.914904364	55.625217438	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/D_pinned_5pct/f2load/figure4_f2load/workloadc	/work/vcomp/exp/motivation_speedup_1kb/vcomp_1000gb_1kb_none_260904_figure4_db_rebuild2	1.114419527	0.897316358	0.986831687
