mode,run_id,elapsed,ops_per_s,micros_per_op,found,total_ops,get_p50,get_p95,get_p99,get_p100,sst_p50,sst_p95,sst_p99,get_count,get_sum,sst_count,sst_sum,filter_per_get,index_per_get,data_per_get,sst_per_get,bytes_per_sst_read,bloom_fpr,bloom_useful,bloom_pos,bloom_tp,filter_miss,filter_hit,index_miss,index_hit,data_miss,data_hit,l0_hit,l1_hit,l2_hit,l3_hit,l4_hit,l5_hit,l6_hit,non_last_read_bytes,non_last_read_count,compact_read,compact_write
baseline,baseline_run12,602.08,1660,602.08,632270,1000000,610.621799,926.427859,1227.416572,2715.0,130.952821,201.560392,241.589107,1000000,601687634,4332533,555996863,3.0177,0.654404,0.655028,4.332533,104597.48641822232,3.382314289032462,2363296,654404,632270,3016493,1207,654404,0,655028,0,0,1013,9604,97350,524303,0,0,453172061624,4332533,0,0
baseline,baseline_run13,575.361,1738,575.361,632270,1000000,582.934722,855.903873,1141.669368,1834.0,130.00605,203.775651,241.615009,1000000,574953387,4180516,530677372,2.86784,0.65333,0.654013,4.180516,104350.5438347802,3.2234858341113948,2214510,653330,632270,2866548,1292,653329,1,654013,0,0,841,9859,97562,524008,0,0,436239118110,4180516,0,0
baseline,baseline_run14,484.951,2062,484.951,632270,1000000,490.404808,827.182657,866.091597,1678.0,113.87133,175.48147,236.345738,1000000,484546143,3795724,443060094,2.489057,0.649989,0.650516,3.795724,106523.11333885182,2.726046133088411,1839068,649989,632270,2488577,480,649989,0,650516,0,0,753,9739,97277,524501,0,0,404332337855,3795724,0,0
baseline,baseline_run15,595.211,1680,595.211,632270,1000000,611.595171,889.24324,1220.025193,1908.0,132.224816,206.418372,242.347164,1000000,594798198,4233119,550921915,2.919529,0.65364,0.654351,4.233119,102568.47243391929,3.2693837586439067,2265889,653640,632270,2918534,995,653640,0,654351,0,0,949,9686,97739,523896,0,0,434184549461,4233119,0,0
baseline,baseline_run16,406.778,2458,406.778,632270,1000000,412.053529,692.770666,839.05984,1466.0,95.377447,159.926606,198.79184,1000000,406369872,3688753,367024199,2.384764,0.648713,0.649123,3.688753,106813.83527902247,2.5347110355426805,1736051,648713,632270,2384323,441,648713,0,649123,0,0,965,9518,98002,523785,0,0,394009855327,3688753,0,0
baseline,baseline_run17,513.479,1947,513.479,632270,1000000,515.572602,836.777848,869.39015,2505.0,126.800832,202.64079,241.413408,1000000,513072225,3814850,472219024,2.508144,0.64999,0.650535,3.81485,105376.5117372898,2.7261957876275056,1858154,649990,632270,2507679,465,649990,0,650535,0,0,904,9726,98001,523639,0,0,401995585801,3814850,0,0
baseline,baseline_run18,602.517,1659,602.517,632270,1000000,614.931506,858.984012,1157.660211,2140.0,119.584556,168.628875,230.186033,1000000,602084070,4627010,553057244,3.308566,0.657342,0.65798,4.62701,103670.24017691771,3.8141484949995585,2651224,657342,632270,3305102,3464,657342,0,657980,0,0,1549,9555,97496,523670,0,0,479683238001,4627010,0,0
baseline,baseline_run19,512.681,1950,512.681,632270,1000000,517.0204,837.542361,869.487284,1616.0,125.505372,204.864486,242.080963,1000000,512277125,3810095,471771139,2.504213,0.649648,0.65017,3.810095,104789.4410837525,2.674987069920942,1854565,649648,632270,2503649,564,649646,2,650170,0,0,841,9693,97954,523782,0,0,399257725526,3810095,0,0
baseline,baseline_run20,532.595,1877,532.595,632270,1000000,537.303371,843.780131,983.941116,1804.0,126.473179,204.519573,241.317709,1000000,532189067,3967989,491122069,2.65828,0.651605,0.652258,3.967989,101387.06473153025,2.9672884646373188,2006675,651605,632270,2657534,746,651605,0,652258,0,0,1005,9800,97294,524171,0,0,402302757597,3967989,0,0
baseline,baseline_run21,441.766,2263,441.766,632270,1000000,433.311365,797.194174,858.589651,1603.0,98.869718,167.80494,230.880967,1000000,441358619,3806224,400508143,2.499972,0.649808,0.650329,3.806224,106559.51997727931,2.69895107477901,1850164,649808,632270,2499489,483,649806,2,650329,0,0,803,9725,97563,524179,0,0,405589402366,3806224,0,0
baseline,baseline_run22,494.384,2022,494.384,632270,1000000,487.300331,824.614457,864.706807,1554.0,102.287678,167.30477,227.386869,1000000,493998377,4179334,450838603,2.866838,0.653308,0.654002,4.179334,102277.6991271815,3.220226906757606,2213530,653308,632270,2865464,1374,653308,0,654002,0,0,862,9580,97760,524068,0,0,427452665404,4179334,0,0
baseline,baseline_run23,559.879,1786,559.879,632270,1000000,567.551467,858.790162,1169.853928,1743.0,133.50795,207.291244,242.031464,1000000,559512702,3966052,518360689,2.656511,0.651507,0.65214,3.966052,102371.29728984895,2.9526927569465844,2005004,651507,632270,2655801,710,651507,0,652140,0,0,843,9842,97683,523902,0,0,406009888359,3966052,0,0
baseline,baseline_run24,539.314,1854,539.314,632270,1000000,544.453557,846.778714,1047.69852,1921.0,128.575675,201.208876,241.306248,1000000,538927146,3978574,497492243,2.669163,0.651673,0.652315,3.978574,101758.21217652355,2.9774135187432993,2017490,651673,632270,2667991,1172,651672,1,652315,0,0,868,9672,97396,524334,0,0,404852577252,3978574,0,0
baseline,baseline_run25,469.916,2128,469.916,632270,1000000,463.160171,815.451887,862.900501,1574.0,97.247898,166.790339,230.448084,1000000,469523016,4128067,426144812,2.815851,0.652875,0.653568,4.128067,103188.20831735531,3.156040589699405,2162976,652875,632270,2815040,811,652875,0,653568,0,0,984,9732,97773,523781,0,0,425967837544,4128067,0,0
baseline,baseline_run26,440.775,2268,440.775,632270,1000000,435.869656,783.202591,856.011574,1653.0,96.795502,165.245848,225.732239,1000000,440395545,3892738,399280072,2.584136,0.650985,0.651604,3.892738,104158.64777285294,2.874874229052893,1933151,650985,632270,2583552,584,650984,1,651604,0,0,966,9753,97730,523821,0,0,405462326214,3892738,0,0
baseline,baseline_run27,551.902,1811,551.902,632270,1000000,558.03337,855.875273,1154.124996,1793.0,122.153902,206.280182,242.270366,1000000,551477347,4152075,507660861,2.840601,0.652576,0.653245,4.152075,105136.73132999765,3.1116682194870737,2188025,652576,632270,2839682,919,652576,0,653245,0,0,900,9868,97481,524021,0,0,436535593737,4152075,0,0
baseline,baseline_run28,535.749,1866,535.749,632270,1000000,538.916432,844.051708,986.052691,1898.0,119.33383,169.277809,233.232693,1000000,535340689,4177984,490682028,2.865849,0.652863,0.653517,4.177984,104146.68054592836,3.1542605416450264,2212986,652863,632270,2864996,853,652863,0,653517,0,0,767,9768,97662,524073,0,0,435123164974,4177984,0,0
baseline,baseline_run29,449.113,2226,449.113,632270,1000000,441.247013,806.939737,860.933155,1581.0,100.274034,170.203059,235.476611,1000000,448710952,3781868,408864822,2.475612,0.649781,0.650263,3.781868,105089.27890370578,2.694907976687533,1825831,649781,632270,2475222,390,649781,0,650263,0,0,970,9903,97460,523937,0,0,397433781029,3781868,0,0
baseline,baseline_run30,431.158,2319,431.158,632270,1000000,427.533801,779.858993,855.760818,1587.0,98.222349,166.123868,226.160741,1000000,430759138,3764637,390277911,2.458047,0.649888,0.650408,3.764637,107053.24118102224,2.7109286523216314,1808159,649888,632270,2457703,344,649888,0,650408,0,0,947,9731,97420,524172,0,0,403016592720,3764637,0,0
vcomp,vcomp_run1,497.248,2011,497.248,633979,1000000,502.689602,825.104226,865.104916,1707.0,93.655343,148.512762,166.418189,1000000,496817874,4657776,447628045,3.334807,0.658208,0.65887,4.657776,103102.1241064405,3.6810552287422804,2676599,658208,633979,3334502,305,658208,0,658870,0,0,899,9845,98779,524456,0,0,480226599212,4657776,0,0
vcomp,vcomp_run2,488.66,2046,488.66,633184,1000000,494.174303,820.567923,863.917986,1633.0,93.582464,148.486061,166.383406,1000000,488277962,4656166,440116702,3.327014,0.661815,0.662682,4.656166,100603.0705567628,4.326133436081081,2665199,661815,633184,3325467,1547,661815,0,662682,0,0,914,9903,98608,523759,0,0,468424596622,4656166,0,0
