phase	system	workload	status	duration_sec	threads	measured_seconds	process_elapsed_sec	operations	throughput_ops_sec	avg_latency_us	successful_gets	engine_keys_read	engine_keys_written	peak_rss_kb	log_dir
pilot	baseline	workloadc	ok	3	48	3.028	4.426090717315674	3580962	1182686.0	40.373	2158775	3580962	0	11482432	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/mg_base_b01_260914/pilot/workloadc/baseline
pilot	baseline	mixgraph	ok	5	48	5.085	12.860595464706421	2378269	467681.0	101.415	1278124	1973080	333641	46238664	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/mg_base_b01_260914/pilot/mixgraph/baseline
full	baseline	mixgraph	ok	300	48	300.037	309.68134450912476	194122612	646996.0	74.184	128059312	161116570	27179870	55150016	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/mg_base_b01_260914/full/mixgraph/baseline
